code,name,country,phone,uen,customer_type,address_location,address_unit_no,address_postal_code,address_office_number,poc_first_name,poc_last_name,email,credit_term
A0001,AURIC PACIFIC FOOD INDUSTRIES PTE LTD,,,197900718G,,,,,,,,,NET 30
A0002,A. C. AUTO PARTS SDN. BHD.,,,,Distributor,,,,,,,,NET DUE
A0003,ASIA COACH BUILDERS PTE LTD,,,199004145H,,,,,,,,,NET DUE
A0004,ANGIE THE CHOICE PTE LTD,,,199003155E,Distributor,,,,,,,,NET DUE
A0005,ASIA COACH SERVICE,,,,,,,,,,,,NET DUE
A0006,ASIA DAIRIES PTE LTD,,,196700390K,,,,,,,,,NET 30
A0007,AIR COOL ENTERPRISE,,,,,,,,,,,,NET DUE
A0008,APM-COACHAIR SDN. BHD.,,,,Individual Owner,,,,,,,,NET DUE
A0009,ABR HOLDINGS LTD,,,197803023H,Manufacturer,,,,,,,,NET 30
A0010,AVIMO ALVIS AEROSPACE PTE LTD,,,197901026M,Manufacturer,,,,,,,,NET DUE
A0011,ALLSWELL TRADING PTE LTD,SINGAPORE,67788218,198400174Z,Individual Owner,"230 PANDAN LOOP
SINGAPORE 128415
",,128415,,,,,NET 30
A0012,AUTO ZOOM PTE LTD,SINGAPORE,67788218,199202583K,Manufacturer,"230 PANDAN LOOP
SINGAPORE 128415
",,128415,,,,,NET DUE
A0013,ADAM SAHIB HALAL FOOD TRADING,SINGAPORE,67788218,51566700E,Manufacturer,"230 PANDAN LOOP
SINGAPORE 128415
",,128415,,,,,NET 30
A0014,AL FRESCO HOLDINGS PTE LTD,SINGAPORE,67788218,199200594C,Manufacturer,"230 PANDAN LOOP
SINGAPORE 128415
",,128415,,,,,NET 30
A0015,APPLIED MOVERS & TRADING PTE LTD,SINGAPORE,67788218,199701218N,Manufacturer,"230 PANDAN LOOP
SINGAPORE 128415
",,128415,,,,,NET 30
A0016,ALL-BIG TRADING CO,SINGAPORE,67788218,24773900J,Manufacturer,"230 PANDAN LOOP
SINGAPORE 128415
",,128415,,,,,NET 30
A0017,AERO-GREEN TECHNOLOGY (S) PTE LTD,SINGAPORE,67788218,199507937C,Manufacturer,"230 PANDAN LOOP
SINGAPORE 128415
",,128415,,,,,NET DUE
A0018,A & P FLORAL CREATION & TRAINING CENTRE,SINGAPORE,67788218,47449800W,Manufacturer,"230 PANDAN LOOP
SINGAPORE 128415
",,128415,,,,,NET DUE
A0019,AJINOMOTO (SINGAPORE) PTE LTD,SINGAPORE,67788218,197301385Z,Manufacturer,"230 PANDAN LOOP
SINGAPORE 128415
",,128415,,,,,NET DUE
A0020,AIK HUA FOOD ENTERPRISE PTE LTD,SINGAPORE,67788218,199505379N,Manufacturer,"230 PANDAN LOOP
SINGAPORE 128415
",,128415,,,,,NET DUE
A0021,AMEX FOOD PRODUCT PTE LTD,SINGAPORE,67788218,198003790D,Manufacturer,"230 PANDAN LOOP
SINGAPORE 128415
",,128415,,,,,NET DUE
A0022,ANG LEE UANG,SINGAPORE,67788218,,Manufacturer,"230 PANDAN LOOP
SINGAPORE 128415
",,128415,,,,,NET DUE
A0023,ADAM HALAL (S) PRIVATE LIMITED,SINGAPORE,67788218,199603653W,Manufacturer,"230 PANDAN LOOP
SINGAPORE 128415
",,128415,,,,,NET DUE
A0024,ANN TAT FROZEN FOOD TRADING,SINGAPORE,67788218,49530800E,Manufacturer,"230 PANDAN LOOP
SINGAPORE 128415
",,128415,,,,,NET 30
A0025,AH BEE FROZEN FOOD(PLS DO NOT USE),SINGAPORE,67788218,07127700E,,"230 PANDAN LOOP
SINGAPORE 128415
",,128415,,,,,NET DUE
A0026,ANGLISS SINGAPORE PTE LTD,SINGAPORE,67788218,194800011H,Manufacturer,"230 PANDAN LOOP
SINGAPORE 128415
",,128415,,,,,NET 30
A0027,ANG KWEE YONG,SINGAPORE,67788218,53027489B,Individual Owner,"230 PANDAN LOOP
SINGAPORE 128415
",,128415,,,,,NET DUE
A0028,ACTIVE FROZEN FOOD,SINGAPORE,67788218,47196800E,Manufacturer,"230 PANDAN LOOP
SINGAPORE 128415
",,128415,,,,,NET DUE
A0029,AIK YANG FOOD TRADING,SINGAPORE,67788218,42065200X,Manufacturer,"230 PANDAN LOOP
SINGAPORE 128415
",,128415,,,,,NET DUE
A0031,AGI FREIGHT SINGAPORE PTE LTD,SINGAPORE,67788218,199801742D,Manufacturer,"230 PANDAN LOOP
SINGAPORE 128415
",,128415,,,,,NET DUE
A0032,ANG TIAN HOCK TRADING CO.,SINGAPORE,62239368 / 62217301,26848300X,Manufacturer,"61 SENG POH LANE
#01 - 01
SINGAPORE 160061
",01,160061,,,,,NET DUE
A0033,AMOSCO PTE LTD,SINGAPORE,62239368 / 62217301,199003992Z,Manufacturer,"61 SENG POH LANE
#01 - 01
SINGAPORE 160061
",01,160061,,,,,NET DUE
A0034,AMERIFOODS(S) PTE LTD,SINGAPORE,62239368 / 62217301,199900632D,Manufacturer,"61 SENG POH LANE
#01 - 01
SINGAPORE 160061
",01,160061,,,,,NET DUE
A0035,ARCO MARKETING PTE LTD,SINGAPORE,62239368 / 62217301,199404608W,Individual Owner,"61 SENG POH LANE
#01 - 01
SINGAPORE 160061
",01,160061,,,,,NET 30
