id,product_id,store_id,quantity,type,cost_price
1049,C7-8915-74,ST,150,+,0.18
1050,C7-35612-74,ST,150,+,0
1051,C7-35612-74,ST,150,+,0
1052,F4-AJ2-1/2,ST,20,+,0
1053,S2/2GANGON/OFFSW,ST,10,+,12
1054,TE203,ST,3,+,10
1056,TCP11C2,ST,5,-,425
1058,FC505-08,ST,1,+,3.75
1059,F5-TU73-A,ST,1,+,15
1060,103-46,ST,1,-,13.9
1061,103-46,ST,1,-,13.9
1062,B2B49,ST,2,-,9
1063,PA4279-2P,ST,1,+,20
1064,F5-TU73-A,ST,3,+,15
1065,F5-TU73-A,ST,3,+,15
1066,B2A47,ST,2,-,8
1067,TSJ423J007,ST,10,+,20
1068,F4-AJ3,ST,50,+,4
1069,F4-AJ2-1/2,ST,30,+,4
1070,MD030629,ST,1,-,99.5
1072,F3Y-730-5/M,ST,1,-,32.5
1073,B2B54,ST,2,+,9
1074,TE202,ST,1,+,10
1075,F3PDM-S81COE,ST,1,+,56
1076,PA4279-2P,ST,5,+,20
1077,B36204-2RS,ST,15,+,4.75
1078,B36203-2RS,ST,5,+,4.25
1079,F3Y-730-7,ST,5,+,45
1080,B2B59,ST,6,+,9
1081,F4-RFN-0403,ST,20,+,10
1082,SAA512A103,WD,2,-,36.5
1083,F3PDM-S81COE,ST,5,+,56
1084,88-BLACK-SIZE44,ST,1,-,83.8
1086,B2A57,ST,1,-,8
1087,B3608-2RS,ST,20,+,4.25
1089,B2B57,ST,4,+,9
1090,NN34,ST,6,+,14
1091,ACA272C008,ST,1,+,198.4
1092,ACA272C065,ST,1,-,187
1093,TD21DSL1,ST,1,+,0
1094,TD21DSL1,ST,1,+,0
1095,TCP24A-KT1,ST,4,+,306
1096,F1C-163,ST,10,+,13
1097,BB27,ST,1,+,0
1098,BB27,ST,1,+,0
1099,M371X80171,ST,1,+,27
1100,4015,ST,1,-,1089.96
1101,C1488-45015,ST,1,-,0
1102,MM408992,ST,10,+,5
1103,FC505-08,WP,60,+,0
1104,FC505-08,WP,60,+,0
1105,B2A61,ST,2,-,5.8
1106,CO.200,ST,8,-,0
1108,TD17CXL1,ST,1,+,2903.7067
1109,29374,ST,1,+,12.64
1111,ACA272C054,ST,2,+,26.07
1112,SSA512T037A,ST,2,-,72.395
1114,SSA512T037A,ST,2,-,72.395
1115,ACA223D002,ST,20,+,2.94
1116,B36204-2RS,ST,20,+,4.6
1117,B36302-2RS,WD,4,+,0
1118,B2B53,ST,1,-,9.3
1119,B2B53,ST,1,-,9.3
1122,204700,ST,8,-,3.8093
1123,204700,ST,8,-,3.8093
1124,TSJ272D009A,ST,1,-,1046.25
1125,70322206,ST,6,+,11.95
1126,70322206,ST,6,+,11.95
1127,TD21DSL1,ST,1,-,3409.2744
1128,TD21DSL1,ST,1,-,3409.2744
1129,B4IPB,ST,100,+,0
1130,MIT-639-B41PB-B,ST,1,+,0
1131,MIT-639-B41PB-B,WP,2,+,0
1132,40555,ST,3,-,7.555
1133,230002,WP,4,+,0
1134,MIT-639-B41PB-B,WP,4,+,0
1135,SSA566B010,ST,1,+,0
1136,B36205-2RS,ST,10,-,4.8231
1137,TJD311B003,ST,1,+,0
1139,SSA512T037A,ST,1,-,72.395
1140,B36204-2RS,ST,20,+,4.6
1141,F1EK-305,ST,6,-,6.5714
1142,F3Y-730-5/M,ST,2,+,21
1143,B2B52.5,ST,2,+,0
1144,B2A58,ST,72,+,0.8
1145,R24252,ST,5,+,5.5
1146,ACA272C054,ST,1,+,26.07
1148,08816-10000,ST,60,+,0
1149,R50TS050-10,ST,130,-,3.4965
1151,B3608-2RS,ST,30,+,2.5
1152,F5-TU73-A,ST,5,+,0
1153,CAWT28.23H/W,ST,1,-,86.1778
1154,89-BLACK-SIZE39,ST,1,-,43.785
1155,F4-AJ2-1/2,ST,30,+,0
1156,230001,ST,4,+,8.6575
1157,C1488-45061,ST,1,+,0
1158,TCP24A-KT2,ST,1,+,0
1159,ACA201A020,WD,1,+,0
1160,CO.37H,ST,1,-,84.344
1161,B36204-2RS,ST,20,+,4.6
1162,F1C-163,ST,43,+,13
1163,F1C-163,ST,43,+,13
1164,38615900,WP,2,+,0
1165,S22670,ST,5,+,0
1166,NRV 12,ST,2,-,0
1167,F5-TU73-O,ST,1,+,6
1168,F5-TU73-O,ST,5,+,6
1169,F5-TU73-O,ST,5,+,6
1170,B2A23,ST,1,+,2.85
1171,ACA201A020,ST,5,+,0
1173,10-22-639,ST,4,+,0
1175,10-22-639,ST,4,+,0
1177,38615900,ST,5,+,0
1178,F3PDM-S81COE,ST,5,+,0
1179,E2-30Y8-24V,WP,1,+,0
1181,TCP24A-KT2,ST,3,+,0
1182,TCP24A-KT2,ST,3,+,0
1183,SSA431B091,ST,9,-,23.0167
1184,SSA551A105,ST,1,+,26.7863
1185,SSA551A105,ST,1,+,26.7863
1186,S2/2GANGON/OFFSW,ST,3,+,0
1187,B3608-2RS,ST,2,-,2.5
1188,B36204-2RS,ST,5,+,4.6
1189,SSA431J016,ST,2,+,0
1191,24-WHITE-SIZE41,ST,1,+,0
1192,70122685,ST,2,+,4.9078
1193,TCP24A-KT2,ST,2,+,0
1194,ACA272C008,ST,1,+,0
1196,70122685,ST,1,+,4.9078
1197,89-BLACK-SIZE42,ST,1,-,155.65
1198,SSA512A019A,ST,1,+,141.165
1199,ACA272C064,ST,1,+,151.885
1200,F4-AJ2-1/2,ST,2,+,0
1201,F4-AJ2-1/2,ST,2,+,0
1203,149-BLACK-SIZE38,ST,1,+,0
1204,6701-WHITE-SIZE42,ST,1,+,0
1205,29-BLACK-SIZE39,ST,1,+,0
1207,F4-AJ2-1/2,ST,10,+,0
1209,ACA272C082,ST,1,+,36.919
1210,V1SE-2021,ST,1,+,3.5
1211,B2B57,WP,1,-,0
1212,B2A42,ST,1,+,4
1213,B2A42,ST,1,+,4
1214,B2A42,ST,1,+,4
1215,B2A33,ST,10,+,0.8
1216,F3Y-730-5/M,ST,5,-,21
1217,F3Y-730-5/M,ST,5,-,21
1218,F3Y-730-5/M,ST,5,-,21
1221,YU603,ST,3,+,0
1222,ACA272C008,ST,1,+,0
1223,70335,ST,2,+,0
1224,B2B58,ST,1,+,10.3
1225,B2B58,ST,2,+,10.3
1226,F4-AJ2-1/2,ST,5,+,0
1227,B2B60,ST,10,+,8.8
1228,B2B60,ST,10,+,8.8
1230,ACA272C009,ST,8,-,15.115
1231,ACA272C009,ST,8,+,15.115
1232,ACA272C008,ST,1,+,0
1233,TJF006A061J,ST,1,-,253.37
1234,R20-332-019-150,ST,1,+,4
1235,B2A28,ST,1,+,5.5
1236,ACA272C065,ST,1,-,249.3333
1237,SSA941A021,ST,20,+,0
1239,SSA941A021,ST,20,+,0
1241,CO.37H,ST,1,-,84.344
1242,70406S,ST,9,-,3.98
1245,30500,WP,1,-,0
1246,F4-AJ2-1/2,ST,1,+,0
1247,SSA431J016,WP,1,+,0
1248,72301288,ST,3,-,3.2037
1249,SSA512T037A,ST,3,-,72.395
1250,ACA201A020,ST,1,+,0
1251,ACA201A020,ST,1,+,0
1252,38615900,ST,1,+,0
1253,38615900,WP,1,+,0
1254,38615900,ST,1,+,0
1257,TCP11C2,ST,31,+,36.9556
1258,TCP11C1,ST,6,-,321.74
1259,TCP11C1,ST,6,-,321.74
1260,TCP11C1,ST,6,-,321.74
1261,70120783,ST,2,+,15.4884
1262,70120783,ST,4,+,15.4884
1263,70120783,ST,28,+,15.4884
1264,70120783,ST,28,+,15.4884
1265,70322206,ST,4,+,11.95
1266,70120783,ST,4,+,15.4884
1267,70322206,ST,12,+,11.95
1268,70322206,ST,12,+,11.95
1269,56755,ST,24,+,0
1270,SSA512A019A,WP,3,+,149.425
1271,38615900,ST,1,+,0
1272,38615900,ST,1,+,0
1273,70322206,ST,4,+,11.95
1275,F4-AJ2-1/2,ST,2,+,0
1276,38615900,ST,1,+,0
1277,38615900,ST,1,+,0
1278,SSA512K009,ST,2,+,76.58
1279,SSA512A019A,ST,3,+,141.17
1280,38615900,ST,1,+,0
1281,B2A57,ST,1,+,5.4
1282,38615900,ST,1,+,0
1283,F3PDM-S81COE,ST,1,+,0
1284,F3PDM-S81COE,ST,1,+,0
1285,NRV 6,WP,1,+,0
1286,TCP11F2,ST,2,+,321.74
1287,B2A25,ST,1,+,5.34
1292,38615900,ST,1,+,0
1293,F3PDM-S81COE,ST,1,+,0
1294,TCP11F2,ST,1,+,321.74
1295,TCP11F2,ST,1,+,321.74
1296,TSJ502A040A,ST,1,+,0
1297,B2A25.5,ST,1,+,16
1298,230001,ST,4,+,8.6575
1299,230001,ST,4,-,8.6575
1300,230001,WP,4,+,8.6575
1301,TD14CXH1,WP,1,+,0
1302,TD14CXH1,ST,3,+,0
1303,38615900,ST,1,+,0
1304,38615900,ST,1,+,0
1305,DAI-V118-S,ST,1,+,0
1306,F3PDM-S81COE,ST,1,+,0
1307,71222172,ST,3,+,60.29
1308,71922483,ST,4,+,8.0817
1309,TJC311B003,ST,2,+,0
1310,SSA521A024A,ST,3,+,8.5
1311,08816-10000,ST,6,+,0
1312,10-107-272,ST,2,+,0
1313,SSA382A130A,ST,1,+,0
1314,SSA382B018B,ST,1,-,0
1315,38615900,ST,1,+,0
1316,71922483,ST,8,+,8.0817
1317,230001,ST,4,+,8.6575
1318,30500,ST,2,-,17.34
1319,TCP24K,ST,6,+,1591
1320,F3PDM-S81COE,ST,1,+,0
1321,08816-10000,ST,6,+,0
1324,08816-10000,ST,6,+,0
1325,TJF116A042,ST,2,+,0
1326,230001,ST,4,+,8.6575
1327,230001,ST,4,+,8.6575
1328,230001,ST,4,+,8.6575
1329,230001,ST,4,+,8.6575
1331,08816-10000,ST,6,+,0
1332,08816-10000,ST,4,+,0
1333,08816-10000,ST,4,+,0
1334,SSA387B069,ST,3,-,0
1335,SSA387B079,ST,4,-,0
1336,SSA387B079D,ST,6,-,0
1337,SSA387B079A,ST,15,-,0
1338,SSA387B079C,ST,53,-,0
1339,SSA387B099,ST,4,-,0
1340,SSA387B099A,ST,8,-,0
1341,SSA387B114,ST,2,-,0
1342,SSA387B114A,ST,38,-,0
1343,SSA387B114A,ST,38,-,0
1344,SSA387B114C,ST,32,-,0
1345,SSA387B114F,ST,2,+,0
1346,08816-10000,ST,6,+,0
1347,SSA387B114F,ST,2,-,0
1348,SSA387B121,ST,1,-,0
1349,SSA387B121A,ST,4,-,0
1350,SSA387B121C,ST,26,-,0
1351,SSA387B121B,ST,16,-,0
1352,SSA431A031,ST,1,-,0
1353,SSA431A109,ST,12,-,0
1354,SSA431J013A,ST,1,-,0
1355,SSA431B091,ST,2,-,0
1356,SSA431B065A,ST,15,-,0
1357,SSA512A013C,ST,68,-,0
1358,29755,ST,2,+,26.7733
1359,29755,ST,2,+,26.7733
1360,SSA357H026,ST,9,+,0
1361,SSA381A228,ST,1,+,0
1362,SSA382B018B,ST,15,+,0
1363,SSA382F108A,ST,1,-,0
1364,SSA382F108,ST,1,+,0
1365,SSA383B301F,ST,1,-,0
1366,SSA383B410,ST,16,+,0
1367,SSA383D007C,ST,1,-,0
1368,SSA383D007C,ST,1,-,0
1369,MM433922,ST,1,-,0
1370,MM408992,ST,6,+,0
1371,MM432104,ST,1,+,0
1372,MM432104,ST,1,+,0
1373,SAA382A008,ST,2,-,0
1374,30A17-00070,ST,3,-,0
1375,7011,ST,2,-,0
1376,SAA382A008A,ST,2,-,0
1377,SAA512A072,ST,9,-,0
1378,SAA512A117,ST,1,+,0
1379,SAA512A130,ST,25,-,0
1380,SAA512A130,ST,25,-,0
1381,ACA932C023,ST,1,-,0
1382,ACA932C025,ST,4,-,0
1383,ACA932C025,ST,4,-,0
1384,ACA932C026,ST,1,+,0
1385,ACA932C035,ST,1,-,0
1386,ACA932C033,ST,3,-,0
1387,ACA932C033,ST,3,-,0
1388,ACA272C008,ST,5,+,0
1389,ACA932D002,ST,2,-,0
1390,ACA932D004,ST,3,-,0
1391,ACA932D006,ST,2,-,0
1392,B3NU1005,ST,3,-,0
1393,ACA932D007,ST,1,-,0
1394,TCP18C2-KT2,ST,4,+,112.5208
1395,BSA006A012F,ST,18,-,0
1396,ERC05,ST,11,+,0
1397,MM130912,ST,1,-,0
1398,ACA223C010,ST,1,-,0
1399,TSJ006A005,ST,1,-,0
1400,ACA223C010,ST,1,+,0
1401,ACA272C008,ST,24,-,0
1402,ACA272C009,ST,7,-,0
1403,ACA272C054,ST,6,-,0
1404,ACA272C064,ST,7,-,0
1405,ACA272C065,ST,8,-,0
1406,ACA272C082,ST,30,-,0
1407,31A8700010,ST,1,+,0
1408,31B0123200,ST,1,-,0
1409,31A1710602,ST,3,+,0
1410,ACA214B005,ST,1,-,0
1411,ACA222B001,ST,5,+,0
1412,230001,ST,8,+,8.6575
1413,B36203-2RS,ST,5,+,0
1414,30125,ST,2,+,6.9261
1415,F4-AJ3,ST,5,+,0
1416,11375500,ST,1,+,0
1417,M3MSH-035,ST,30,+,8
1418,ACA223C013,ST,8,-,0
1419,29755,ST,1,+,0
1420,TCP18G2,ST,1,+,0
1421,08816-10000,ST,6,+,0
1422,08816-10000,ST,6,+,0
1423,TCP18C2-KT1,ST,1,+,0
1424,TCP18C2-KT1,ST,1,+,0
1425,TCP18H2,ST,5,+,0
1426,024120253B,ST,1,-,0
1427,30520744,ST,5,-,0
1428,030520827A,ST,1,+,0
1429,30522477,ST,1,+,0
1430,35321301,ST,5,+,0
1431,35422247,ST,17,-,0
1432,35422278,ST,6,+,0
1433,035520031A,ST,8,-,0
1434,38615900,ST,6,+,0
1435,38617455,ST,23,-,0
1436,38623737,ST,1,-,0
1437,38623738,ST,5,-,0
1438,70115766,ST,5,+,0
1439,70120783,ST,17,-,0
1440,70322203,ST,21,+,0
1441,70322206,ST,8,-,0
1442,070810489A,DEFAULT,5,+,0
1443,S2/2GANGON/OFFSW,ST,20,+,0
1444,070810489A,ST,1,-,0
1445,70820809,ST,2,-,0
1446,70822017,ST,1,-,0
1447,71222172,ST,32,+,0
1448,71223589,ST,1,-,0
1449,71223589,ST,1,-,0
1450,71422430,ST,3,+,0
