sku,name,category_id,uom_id,auto_reorder,lead_time,reorder_level,remark,quantity_to_reorder,status,price
#100 MOP DISC,"4"" RED MOP DISC #100",ZZ0,PC,1,,0,,0,0,7
#120 MOP DISC,"4"" RED MOP DISC #120",ZZ0,PC,0,,10,,30,0,7
#40 MOP DISC,"4"" RED MOP DIS #40",ZZ0,PC,0,,20,,30,0,6
#60 MOP DISC,"4"" RED MOP DISC #60 ( 10 PCS/BOX )",ZZ0,PC,0,,10,,20,0,6
#80 MOP DISC,"4"" RED MOP DIS #80 ( 10 PCS/BOX )",ZZ0,PC,0,,10,,20,0,6
28,HINGE/CHARNIERE I-206,BUI,PC,1,,0,,0,0,40
34,HINGE/CHARANIERE I-215,BUI,PC,1,,0,,0,0,45
01-3000-2101,PURE SINE POWER INVERTER SK2000 240/12/50HZ,PSL,SET,1,,0,,0,0,1360
01-3000-2203,SK2000 230/24/50Hz PURE SINE POWER INVERTER,PSL,PC,1,,0,,0,0,1360
01-3102-2103,CONVERTER PURE SINE WAVE 1000 DC 12V,PSL,SET,1,,0,,0,0,750
018-6857,SOLENOID COIL,AAC,PC,1,,1,,1,0,84
018-6887,COIL FOR SOLENOID VALVE 24VD.C,AAC,PC,1,,2,,2,0,86
187,HINGE/CHARANIERE G-556,BUI,PC,1,,0,,0,0,35
20315730,"EXTERNAL DOOR LOCKS ?25MM, PART#071921020",PAL,PC,1,,10,,10,0,16
20512926,LOCK FOR LUGGAGE COMPARTMENT,PAL,PC,1,,10,,10,0,61.2
20512981,LOCK,PAL,PC,1,,20,,20,0,61.2
20705,HYPERTHEM NOZZLE,ZZZ,PC,1,,0,,0,1,13
020814394B,POLIALL HINGES 2700X28MM ,PAL,PC,1,,20,,20,0,188.8
20815680,BLACK ANODIZEN ALUM. HINGE,PAL,PC,1,,10,,10,0,27
20815681,BLACK ANODIZED ALUM. HINGE,PAL,PC,1,,10,,10,0,20.8
20821095,POLIALL HINGE 270 300X28,PAL,PC,1,,20,,20,0,196
020823496B,POLIALL HINGE 2700 X 29MM,PAL,PC,1,,0,,0,0,258.3
20846,"SCHNEIDER 83934 CAP,FOR INDUSTRIAL PLUG 16A,3P+E IP67",ZZ0,PC,1,,0,"REMARKS:

FOR ID# E-PLUG",0,0,12
20902342,BLACK ABS HOLE COVER,PAL,PC,1,,10,,10,0,4
2126018,MODEL 6002 W.MOTOR 3.25M,OMS,PC,1,,0,,0,0,2440
024120253B,Z.PL FILLER FLAP 245X190 W/KEY (024120253E & G),PAL,PC,1,,10,,10,0,110
30520744,Z.PL.PLATE,PAL,PC,1,,20,,20,0,17
030520827A,LOCK,PAL,PC,1,,25,,25,0,58
30522477,SET OF 2 PCS DOOR HANDLES W/KY,PAL,PC,1,,10,,10,0,46
3135227,MODEL: 6802 W.MOTOR 3.5M,OMS,PC,1,,0,,0,0,2056
314,FERMETURE/LOCK G-24,BUI,PC,1,,0,,0,0,144.5
031T-66626,AIRCON COMPRESSOR SHAFT SPCSL,ZZ0,PC,1,,0,,0,0,383.6
332019150,RELAY,AAC,PC,1,,1,,1,0,120
034L0042,CRANKCASE PRESSURE REGULATOR,AAC,PC,1,,1,,1,0,250
035315473B,MOUNTING BRACKET FE355 (81 X 100MM),PAL,PC,1,,0,,0,0,6.5
035315991B,CHASSIS BRACKET CAST.Z.PL. 130X72,PAL,PC,1,,0,,0,0,13.7
35321301,SIZE: 100MM (L) X 4MM (THK) MS HINGES FOR WELDING,PAL,PC,1,,10,,10,0,15
35402556,Z.PL. STRIKER F/035412857,PAL,PC,1,,0,,0,0,7.3
035412857A,Z.PL. SIDE BOARD LOCK W/O STRIKER,PAL,PC,1,,0,,0,0,51.9
35415657,Z.PL. SIDE BOARD LOCK W/STRIKER,PAL,PC,1,,0,,0,0,20.1
35422247,CHIUSURA NASELLO TONDO ZINC,PAL,PC,1,,5,,5,0,18.8
35422278,FRAME A1 85MM GASKET (939X1891MM BACK DOOR),PAL,PC,1,,5,Used for Turkey gasket temporailly,5,0,177
035422279A,SS SPRING BOLT LATCH,PAL,PC,0,,8,,20,0,61.8
35518614,ALU. SQUARE ADJ BAR,PAL,PC,1,,15,,10,0,278
35518764,FRAME B1 85MM GASKET (939X1891MM - OPPOSITE),PAL,PC,1,,50,Used for Turkey gasket temporailly,50,0,168
035520031A,BLACK PLASTIC END PIECE,PAL,PC,1,,50,,50,0,3
0360-66663,HIGH PRESSURE RUBBER HOSE,ZZ0,PC,1,,0,,0,0,95.9
036B-66661,DRIER FILTER,ZZ0,PC,1,,0,,0,0,52.7
38613805,CEILING LIGHT,ZZZ,PC,1,,0,,0,1,41.55
38615900,CEILING LIGHT 24V (038615900A),PAL,PC,1,,40,,40,0,68.5
38617455,CEILING LIGHT 12V (038617455A),PAL,PC,1,,20,,10,0,67
38623737,RECESSED CEILING LIGHT D.178/V,PAL,PC,1,,30,,25,0,28
38623738,RECESSED CEILING LIGHT D.178 -24V,PAL,PC,1,,20,,15,0,28
038625984I,RECESSED CEILING LIGHT 24V,PAL,PC,1,,0,,0,0,42.8
038627013A,REC CEILING LIGHT 12V - EXPORT,PAL,PC,1,,0,,0,0,42.8
038627014A,REC CEILING LIGHT 24V - EXPORT,PAL,PC,1,,0,,0,0,42.8
03C08500,85MM DOOR GASKET-2.85M 1705.0206-A-02 (#9.E12.32198.990023),PAL,PC,1,,0,,0,0,70
03C08501,85MM DOOR COUNTERPART-2.85M 1705.0207-A-02 (#9.E12.32925.990014),PAL,PC,1,,0,,0,0,70
03Y6-66319,STRAINER (FILTER DRIER),ZZZ,PC,1,,0,,0,1,16.7
40226618,TELESCOPIC GUIDE/SLIDING DOOR SYSTEM,PAL,PC,1,,0,,0,0,2000
40426618,SLIDING DOOR - INTERNAL BLOCK W/THREAD 2,PAL,PC,1,,0,,0,0,11.6
40526618,SLIDING DOOR - EXT. BLOCK 2,PAL,PC,1,,0,,0,0,10.5
040676-00303D,PISTON KIT STD,ZZZ,PC,1,,0,,0,1,382.5
040678-00103D,VALVE EXHAUST,ZZZ,PC,1,,0,,0,1,102
040692-00103D,CON ROD BEARING,ZZZ,PC,1,,0,,0,1,25.84
