089724001,"8FT BOX 97 MODEL (24V), SIZE: 2440L X 1730W X 1700HMM X 100T (BOTTOM)  (MIT-AIR) (CKD)",INSULATION BOX,BOX,Active
089912001,"8FT BOX 99 MODEL (12V), SIZE: 2530L X 1800W X 1900HMM - FOR FHA 2024",INSULATION BOX,BOX,Active
099712001,"9FT BOX 97 MODEL (12V), SIZE: 2820L X 1700W X 1200HMM",INSULATION BOX,BOX,Active
099724001,"9FT BOX 97 MODEL (24V), SIZE: 2750L X 2250W X 2130H X 95TMM FLOOR (VMD)",INSULATION BOX,BOX,Active
099912001,"9FT BOX 99 MODEL (12V), SIZE: 2820L X 1700W X 1200HMM",INSULATION BOX,BOX,Active
109712001,"10FT BOX 97 MODEL (12V), SIZE: 3080L X 1700W X 1900HMM",INSULATION BOX,BOX,Active
109712001F,"10FT BOX 97 MODEL (12V), SIZE: 3080L X 1700W X 1900HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
109712002,"10FT BOX 97 MODEL (12V), SIZE: 3080L X 1700W X 1200HMM",INSULATION BOX,BOX,Active
109712002-50,"10FT BOX 97 MODEL (12V), SIZE: 3080L X 1700W X 1200H X 50TMM",INSULATION BOX,BOX,Active
109712002F,"10FT BOX 97 MODEL (12V), SIZE: 3080L X 1700W X 1200HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
109712002F-50,"10FT BOX 97 MODEL (12V), SIZE: 3080L X 1700W X 1200H X 50TMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
109712003,"10FT BOX 97 MODEL (12V), SIZE: 3080L X 1700W X 1800HMM",INSULATION BOX,BOX,Active
109712004,"10FT BOX 97 MODEL (12V), SIZE: 3080L X 1700W X 1250HMM",INSULATION BOX,BOX,Active
109712004-50,"10FT BOX 97 MODEL (12V), SIZE: 3080L X 1700W X 1250H X 50TMM",INSULATION BOX,BOX,Active
109712005,"10FT BOX 97 MODEL (12V), SIZE: 3080L X 1800W X 1900HMM",INSULATION BOX,BOX,Active
109712005-100,"10FT BOX 97 MODEL (12V), SIZE: 3080L X 1800W X 1900H X 100TMM",INSULATION BOX,BOX,Active
109712005-125,"10FT BOX 97 MODEL (12V), SIZE: 3080L X 1800W X 1900H X 125TMM",INSULATION BOX,BOX,Active
109712005F,"10FT BOX 97 MODEL (12V), SIZE: 3080L X 1800W X 1900HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
109712005F(R),"10FT BOX 97 MODEL (12V), SIZE: 3080L X 1800W X 1900HMM FULL HEIGHT WALL EXCLUDE REAR DOOR",INSULATION BOX,BOX,Active
109712006,"10FT BOX 97 MODEL (12V), SIZE: 3080L X 1800W X 1800HMM (LKM)",INSULATION BOX,BOX,Active
109712007,"10FT BOX 97 MODEL (12V), SIZE: 3080L X 2000W X 1850HMM",INSULATION BOX,BOX,Active
109712008,"10FT BOX 97 MODEL (12V), SIZE: 3080L X 1700W X 1900HMM (GHK)",INSULATION BOX,BOX,Active
109712009,"10FT BOX 97 MODEL (12V), SIZE: 3200L X 2000W X 2000HMM",INSULATION BOX,BOX,Active
109712010-50,"10FT BOX 97 MODEL (12V), SIZE: 3100L X 1700W X 1250H X 50TMM",INSULATION BOX,BOX,Active
109712011,"10FT BOX 97 MODEL (12V), SIZE: 3080L X 1800W X 1200HMM",INSULATION BOX,BOX,Active
109712011F,"10FT BOX 97 MODEL (12V), SIZE: 3080L X 1800W X 1200HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
109712011F-100,"10FT BOX 97 MODEL (12V), SIZE: 3080L X 1800W X 1200H X 100TMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
109712012F-100,"10FT BOX 97 MODEL (12V), SIZE: 3200L X 1800W X 1200H X 100TMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
109712014F,"10FT BOX 97 MODEL (12V), SIZE: 3180L X 1750W X 1900HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
109712015F,"10FT BOX 97 MODEL (12V), SIZE: 3200L X 1800W X 1900HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
109712016F,"10FT BOX 97 MODEL (12V), SIZE: 3200L X 1750W X 1900HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
109712017,"10FT BOX 97 MODEL (12V), SIZE: 3100L X 1800W X 1800HMM (LKM)",INSULATION BOX,BOX,Active
109712018-50,"10FT BOX 97 MODEL (12V), SIZE: 3100L X 1700W X 1200H X 50TMM",INSULATION BOX,BOX,Active
109724001,"10FT BOX 97 MODEL (24V), SIZE: 3080L X 1700W X 1900HMM",INSULATION BOX,BOX,Active
109724001F,"10FT BOX 97 MODEL (24V), SIZE: 3080L X 1700W X 1900HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
109724002,"10FT BOX 97 MODEL (24V), SIZE: 3080L X 1700W X 1200HMM",INSULATION BOX,BOX,Active
109724003,"10FT BOX 97 MODEL (24V), SIZE: 3080L X 1700W X 1800HMM",INSULATION BOX,BOX,Active
109724004,"10FT BOX 97 MODEL (24V), SIZE: 3080L X 1700W X 1250HMM",INSULATION BOX,BOX,Active
109724005,"10FT BOX 97 MODEL (24V), SIZE: 3080L X 1800W X 1900HMM",INSULATION BOX,BOX,Active
109724005-100,"10FT BOX 97 MODEL (24V), SIZE: 3080L X 1800W X 1900H X 100TMM",INSULATION BOX,BOX,Active
109724005-125,"10FT BOX 97 MODEL (24V), SIZE: 3080L X 1800W X 1900H X 125TMM",INSULATION BOX,BOX,Active
109724006,"10FT BOX 97 MODEL (24V), SIZE: 3080L X 1850W X 1900HMM",INSULATION BOX,BOX,Active
109724007,"10FT BOX 97 MODEL (24V), SIZE: 3080L X 1700W X 1930HMM",INSULATION BOX,BOX,Active
109724008F,"10FT BOX 97 MODEL (24V), SIZE: 3100L X 1800W X 1900HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
109912001,"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1700W X 1900HMM",INSULATION BOX,BOX,Active
109912001(R),"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1700W X 1900HMM EXCLUDE REAR DOOR",INSULATION BOX,BOX,Active
109912001-100,"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1700W X 1900H X 100TMM",INSULATION BOX,BOX,Active
109912001-125,"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1700W X 1900H X 125TMM",INSULATION BOX,BOX,Active
109912001-150,"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1700W X 1900H X 150TMM",INSULATION BOX,BOX,Active
109912001F,"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1700W X 1900HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
109912001F(R),"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1700W X 1900HMM FULL HEIGHT WALL EXCLUDE REAR DOOR",INSULATION BOX,BOX,Active
109912002,"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1700W X 1200HMM",INSULATION BOX,BOX,Active
109912002-100,"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1700W X 1200H X 100TMM",INSULATION BOX,BOX,Active
109912002-125,"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1700W X 1200H X 125TMM",INSULATION BOX,BOX,Active
109912002-50,"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1700W X 1200H X 50TMM",INSULATION BOX,BOX,Active
109912002F,"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1700W X 1200HMM FULL HEIGHT WALL",INSULATION BOX,BOX,Active
109912003,"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1700W X 1800HMM",INSULATION BOX,BOX,Active
109912004,"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1700W X 1250HMM",INSULATION BOX,BOX,Active
109912004-100,"10FT BOX 99 MODEL (12V), SIZE: 3080L X 1700W X 1250H X 100TMM",INSULATION BOX,BOX,Active
