1049-131,1049,C7-8915-74,ST,+,150.0000
1050-132,1050,C7-35612-74,ST,+,150.0000
1052-133,1052,F4-AJ2-1/2,ST,+,20.0000
1053-134,1053,S2/2GANGON/OFFSW,ST,+,10.0000
1054-135,1054,FC505-08,ST,+,5.0000
1054-136,1054,TE203,ST,+,3.0000
1056-138,1056,B2B45,ST,-,1.0000
1056-139,1056,ACA201A020,ST,+,5.0000
1056-140,1056,ACA272C008,ST,+,5.0000
1056-141,1056,TCP11C2,ST,-,5.0000
1058-143,1058,FC505-08,ST,+,1.0000
1059-144,1059,F5-TU73-A,ST,+,1.0000
1060-145,1060,103-46,ST,-,1.0000
1062-146,1062,B2B49,ST,-,2.0000
1063-147,1063,PA4279-2P,ST,+,1.0000
1064-148,1064,F5-TU42-O,ST,+,10.0000
1064-149,1064,F5-TU42-A,ST,+,1.0000
1064-150,1064,F5-TU73-O,ST,+,3.0000
1064-151,1064,F5-TU73-A,ST,+,3.0000
1066-153,1066,B2A47,ST,-,2.0000
1067-154,1067,TSJ423J007,ST,+,10.0000
1068-155,1068,C7-8915-74,ST,+,150.0000
1068-156,1068,C7-35612-74,ST,+,150.0000
1068-157,1068,F4-AJ3,ST,+,50.0000
1069-158,1069,F4-AJ2-1/2,ST,+,30.0000
1070-159,1070,MM31760401,ST,-,1.0000
1070-160,1070,MD030629,ST,-,1.0000
1072-161,1072,SSA925C051R,ST,-,1.0000
1072-163,1072,SSA383B410,ST,-,1.0000
1072-164,1072,F3Y-730-5/M,ST,-,1.0000
1073-165,1073,B2B54,ST,+,2.0000
1074-166,1074,TE202,ST,+,1.0000
1075-167,1075,F3Y-730-5/M,ST,-,1.0000
1075-168,1075,F3PDM-S81COE,ST,+,1.0000
1076-169,1076,PA4279-2P,ST,+,5.0000
1077-170,1077,B36204-2RS,ST,+,15.0000
1078-171,1078,B36203-2RS,ST,+,5.0000
1079-172,1079,F3Y-730-7,ST,+,5.0000
1080-173,1080,B2B59,ST,+,6.0000
1081-174,1081,F4-RFN-0403,ST,+,20.0000
1082-176,1082,SAA512A103,WD,-,2.0000
1083-177,1083,F3Y-730-5/M,ST,-,5.0000
1083-178,1083,F3PDM-S81COE,ST,+,5.0000
1084-179,1084,885-WHITE-SIZE44,ST,-,1.0000
1084-180,1084,88-BLACK-SIZE44,ST,-,1.0000
1086-182,1086,B2B45,ST,-,3.0000
1086-183,1086,B2B48,ST,-,2.0000
1086-184,1086,B2B49,ST,-,2.0000
1086-185,1086,B2A39,ST,-,1.0000
1086-186,1086,B2B38,ST,-,1.0000
1086-187,1086,B2B53,ST,-,1.0000
1086-188,1086,B2A55,ST,-,1.0000
1086-189,1086,B2A57,ST,-,1.0000
1087-190,1087,B3608-2RS,ST,+,20.0000
1089-191,1089,B2B57,ST,+,4.0000
1090-192,1090,NN34,ST,+,6.0000
1091-193,1091,ACA272C008,ST,+,1.0000
1092-194,1092,ACA272C065,ST,-,1.0000
1093-195,1093,TD60D-EV,ST,+,1.0000
1093-196,1093,TD21DSL1,ST,+,1.0000
1095-199,1095,TCP11C1,ST,+,14.0000
1095-200,1095,TCP11C2,ST,-,1.0000
1095-201,1095,TCP11D1,ST,-,2.0000
1095-202,1095,TCP11F1,ST,+,5.0000
1095-203,1095,TCP11F2,ST,-,1.0000
1095-204,1095,TCP18C2-KT1,ST,-,2.0000
1095-205,1095,TCP18C2-KT2,ST,+,5.0000
1095-206,1095,TCP24A-KT1,ST,+,4.0000
1096-207,1096,F1C-163,ST,+,10.0000
1097-208,1097,BB27,ST,+,1.0000
1098-209,1098,BB27,ST,+,1.0000
1099-210,1099,M371X80171,ST,+,1.0000
1100-211,1100,24909,ST,-,1.0000
1100-212,1100,25539,ST,-,2.0000
1100-213,1100,3802,ST,-,1.0000
1100-214,1100,4015,ST,-,1.0000
1101-215,1101,C1488-45015,ST,-,1.0000
1102-216,1102,MM408992,ST,+,10.0000
1103-218,1103,TCP18H2,WP,+,1.0000
1103-219,1103,FC505-08,WP,+,60.0000
1105-221,1105,B2A61,ST,-,2.0000
1106-222,1106,038615900,ST,+,24.0000
1106-223,1106,038623737,ST,-,3.0000
1106-224,1106,038623738,ST,-,2.0000
1106-225,1106,070115766,ST,+,4.0000
1106-226,1106,070122152A,ST,-,4.0000
1106-227,1106,070322206,ST,-,4.0000
1106-228,1106,070820809,ST,-,18.0000
1106-229,1106,071222172,ST,+,12.0000
1106-231,1106,071422430,ST,-,13.0000
1106-232,1106,071920618A,ST,-,5.0000
1106-233,1106,071920619A,ST,-,6.0000
1106-234,1106,071920622,ST,+,4.0000
1106-236,1106,071922042,ST,+,19.0000
1106-237,1106,071922159,ST,-,1.0000
1106-240,1106,072301288,ST,+,13.0000
1106-242,1106,204600,ST,-,1.0000
1106-243,1106,204700,ST,-,2.0000
1106-244,1106,230002,ST,+,8.0000
1106-245,1106,30025S,ST,-,9.0000
1106-246,1106,30125,ST,-,1.0000
1106-248,1106,CO.200,ST,-,8.0000
1108-249,1108,TD17CXL1,ST,+,1.0000
1109-250,1109,70675,ST,+,1.0000
1109-251,1109,29374,ST,+,1.0000
1111-252,1111,SSA382B018B,ST,-,1.0000
1111-253,1111,ACA272C009,ST,-,2.0000
1111-254,1111,ACA272C082,ST,+,2.0000
1111-255,1111,ACA272C054,ST,+,2.0000
1112-256,1112,SSA512T037A,ST,-,2.0000
1115-257,1115,ACA223D002,ST,+,20.0000
1116-258,1116,B36204-2RS,ST,+,20.0000
1117-259,1117,B36302-2RS,WD,+,4.0000
1118-260,1118,B2A47,ST,-,5.0000
1118-261,1118,B2B46,ST,-,1.0000
1118-262,1118,B36205-2RS,ST,-,6.0000
1118-263,1118,B2A36,ST,-,1.0000
1118-264,1118,B2B42,ST,-,1.0000
1118-265,1118,B2M45,ST,-,2.0000
1118-266,1118,B2B38,ST,-,1.0000
1118-267,1118,B2B53,ST,-,1.0000
1122-270,1122,020315730,ST,+,1.0000
1122-271,1122,020512981,ST,+,1.0000
1122-272,1122,035422278,ST,-,2.0000
1122-273,1122,038615900,ST,-,22.0000
1122-274,1122,038617455,ST,+,1.0000
1122-275,1122,038623737,ST,-,1.0000
1122-276,1122,070120783,ST,-,1.0000
1122-277,1122,071822047,ST,-,3.0000
1122-279,1122,071922042,ST,-,4.0000
1122-281,1122,072301288,ST,-,13.0000
1122-282,1122,072301295,ST,+,2.0000
1122-283,1122,072301296,ST,+,4.0000
1122-284,1122,204600,ST,-,9.0000
1122-285,1122,204700,ST,-,8.0000
1124-287,1124,TSJ272D009A,ST,-,1.0000
1125-288,1125,035520031A,ST,-,4.0000
1125-289,1125,070322206,ST,+,6.0000
1127-293,1127,TD14CXH1,ST,+,1.0000
1127-294,1127,TD21DSL1,ST,-,1.0000
1129-297,1129,B4IPB,ST,+,100.0000
1130-298,1130,MIT-639-B41PB-B,ST,+,1.0000
1131-299,1131,MIT-639-B41PB-B,WP,+,2.0000
1132-300,1132,40555,ST,-,3.0000
1133-302,1133,230002,WP,+,4.0000
1134-303,1134,E2-26Y8-12V,ST,+,3.0000
1134-305,1134,MIT-639-B41PB-B,ST,+,1.0000
1134-306,1134,MIT-639-B41PB-B,WP,+,4.0000
1135-308,1135,SSA566B010,ST,+,1.0000
1136-309,1136,B36205-2RS,ST,-,10.0000
1137-310,1137,TJD311B003,ST,+,1.0000
1139-311,1139,SSA512T037A,ST,-,1.0000
1140-312,1140,B36204-2RS,ST,+,20.0000
1141-313,1141,F1EK-305,ST,-,6.0000
1142-314,1142,F3Y-730-5/M,ST,+,2.0000
1143-315,1143,B2B52.5,ST,+,2.0000
1144-316,1144,B2A58,ST,+,72.0000
1145-317,1145,R22262 87A (12V),ST,-,34.0000
1145-318,1145,R24262 24V,ST,-,9.0000
1145-319,1145,R24252,ST,+,5.0000
1146-320,1146,TCP24K,ST,-,1.0000
1146-321,1146,TCP24A-KT1,ST,-,1.0000
1146-322,1146,M371X80171,ST,-,1.0000
1146-323,1146,ACA272C009,ST,-,1.0000
1146-324,1146,ACA272C008,ST,+,1.0000
1146-325,1146,ACA272C054,ST,+,1.0000
1148-326,1148,08816-10000,ST,+,60.0000
1149-327,1149,51902,ST,-,10.0000
1149-328,1149,51903,ST,+,10.0000
1149-329,1149,R50CPN109-10,ST,-,62.0000
1149-330,1149,R50IA851-10,ST,-,43.0000
1149-331,1149,R50TS050-10,ST,-,130.0000
1151-332,1151,B3608-2RS,ST,+,30.0000
1152-333,1152,F5-TU73-O,ST,+,9.0000
1152-334,1152,F5-TU73-A,ST,+,5.0000
1153-335,1153,CAWT28.23H/W,ST,-,1.0000
1154-336,1154,89-BLACK-SIZE39,ST,-,1.0000
1155-337,1155,F4-AJ2-1/2,ST,+,30.0000
1156-338,1156,230001,ST,+,4.0000
1157-339,1157,C1488-45061,ST,+,1.0000
1158-340,1158,TCP24A-KT2,ST,+,1.0000
1159-341,1159,ACA201A020,WD,+,1.0000
1160-342,1160,030520744,ST,-,1.0000
1160-343,1160,035422247,ST,-,5.0000
1160-344,1160,038623737,ST,-,2.0000
1160-345,1160,070115766,ST,+,6.0000
1160-346,1160,070120783,ST,-,4.0000
1160-347,1160,070322203,ST,+,3.0000
1160-348,1160,070322206,ST,-,14.0000
1160-349,1160,071922042,ST,-,2.0000
1160-350,1160,072301296,ST,-,5.0000
1160-351,1160,072320381,ST,-,5.0000
1160-352,1160,204600,ST,+,6.0000
1160-353,1160,30500,ST,-,3.0000
1160-354,1160,60090S,ST,-,9.0000
1160-355,1160,60091S,ST,+,43.0000
1160-356,1160,70822,ST,+,50.0000
1160-357,1160,CAWT28.22H/W,ST,-,3.0000
1160-358,1160,CAWT28.23H/W,ST,+,5.0000
1160-359,1160,CO.37H,ST,-,1.0000
1161-360,1161,B36204-2RS,ST,+,20.0000
1162-361,1162,F1C-163,ST,+,43.0000
1164-363,1164,038615900,WP,+,2.0000
1165-364,1165,S22670,ST,+,5.0000
1166-365,1166,NRV 12,ST,-,2.0000
1167-366,1167,F5-TU73-O,ST,+,1.0000
1168-368,1168,F5-TU73-O,ST,+,5.0000
1170-370,1170,B2A23,ST,+,1.0000
1171-371,1171,ACA201A020,ST,+,5.0000
1173-372,1173,10-77-169,ST,+,1.0000
1173-373,1173,10-22-639,ST,+,4.0000
1177-376,1177,038617455,ST,-,5.0000
1177-377,1177,038615900,ST,+,5.0000
1178-378,1178,F3PDM-S81COE,ST,+,5.0000
1179-380,1179,E2-30Y8-24V,WP,+,1.0000
1181-381,1181,TCP11C1,ST,-,18.0000
1181-382,1181,TCP11C2,ST,+,8.0000
1181-383,1181,10-77-167,ST,+,1.0000
1181-384,1181,TCP24A-KT2,ST,+,3.0000
1183-386,1183,B2B64,ST,+,5.0000
1183-387,1183,SSA431B091,ST,-,9.0000
1184-388,1184,SSA431B091,ST,+,11.0000
1184-389,1184,SSA512T037A,ST,+,2.0000
1184-390,1184,SSA352C002,ST,+,1.0000
1184-391,1184,SSA358B100,ST,+,1.0000
1184-392,1184,SSA551A105,ST,+,1.0000
1186-394,1186,F4-AJ2-1/2,ST,+,10.0000
1186-395,1186,S2/2GANGON/OFFSW,ST,+,3.0000
1187-396,1187,072301288,WP,-,1.0000
1187-397,1187,SSA512K009,ST,-,1.0000
1187-398,1187,SAA512A072,ST,-,2.0000
1187-399,1187,B3608-2RS,ST,-,2.0000
1188-400,1188,B36204-2RS,ST,+,5.0000
1189-401,1189,SSA431J016,ST,+,2.0000
1191-402,1191,8195-WHITE-SIZE42,ST,+,2.0000
1191-403,1191,24-WHITE-SIZE41,ST,+,1.0000
1192-404,1192,070122685,ST,+,2.0000
1193-405,1193,TCP24A-KT2,ST,+,2.0000
1194-406,1194,ACA272C008,ST,+,1.0000
1196-407,1196,070122685,ST,+,1.0000
1197-408,1197,148-BLACK-SIZE48,ST,-,1.0000
1197-409,1197,149-BLACK-SIZE39,ST,-,1.0000
1197-410,1197,2000-BLACK-SIZE41,ST,-,1.0000
1197-411,1197,2001-BLACK-SIZE41,ST,-,1.0000
1197-412,1197,2201-BLACK-SIZE40,ST,-,1.0000
1197-413,1197,296-WHITE-SIZE42,ST,-,3.0000
1197-414,1197,296-WHITE-SIZE43,ST,-,1.0000
1197-415,1197,296-WHITE-SIZE44,ST,-,1.0000
1197-416,1197,3105-WHITE-SIZE38,ST,+,1.0000
1197-420,1197,54-BLACK-SIZE48,ST,-,1.0000
1197-421,1197,8005-BLACK-SIZE36,ST,-,1.0000
1197-422,1197,80-BLACK-SIZE39,ST,-,2.0000
1197-423,1197,80-BLACK-SIZE40,ST,-,1.0000
1197-424,1197,80-BLACK-SIZE41,ST,-,1.0000
1197-425,1197,80-WHITE-SIZE39,ST,+,1.0000
1197-426,1197,80-WHITE-SIZE40,ST,+,1.0000
1197-427,1197,80-WHITE-SIZE41,ST,+,1.0000
1197-428,1197,8105-WHITE-SIZE42,ST,+,1.0000
1197-429,1197,8185-BLACK-SIZE44,ST,-,1.0000
1197-430,1197,8195-WHITE-SIZE39,ST,-,1.0000
1197-431,1197,8195-WHITE-SIZE40,ST,-,2.0000
1197-432,1197,8195-WHITE-SIZE41,ST,-,1.0000
1197-433,1197,81-BLACK-SIZE40,ST,-,1.0000
1197-434,1197,81-BLACK-SIZE43,ST,+,1.0000
1197-435,1197,81-WHITE-SIZE38,ST,-,1.0000
1197-436,1197,81-WHITE-SIZE41,ST,+,1.0000
1197-437,1197,885-BLACK-SIZE41,ST,+,1.0000
1197-438,1197,885-WHITE-SIZE38,ST,+,1.0000
1197-439,1197,885-WHITE-SIZE39,ST,+,1.0000
1197-440,1197,885-WHITE-SIZE42,ST,-,2.0000
1197-441,1197,88-BLACK-SIZE42,ST,-,2.0000
1197-442,1197,8985-BLACK-SIZE46,ST,-,1.0000
1197-443,1197,8985-WHITE-SIZE35,ST,-,1.0000
1197-444,1197,8985-WHITE-SIZE36,ST,-,1.0000
1197-445,1197,8985-WHITE-SIZE38,ST,+,1.0000
1197-446,1197,8985-WHITE-SIZE42,ST,-,1.0000
1197-447,1197,8985-WHITE-SIZE43,ST,-,1.0000
1197-448,1197,89-BLACK-SIZE37,ST,-,1.0000
1197-449,1197,89-BLACK-SIZE42,ST,-,1.0000
1198-450,1198,SSA512A019A,ST,+,1.0000
1199-451,1199,SAA512A130A,ST,-,1.0000
1199-452,1199,ACA272C009,ST,-,1.0000
1199-453,1199,ACA272C008,ST,+,1.0000
1199-454,1199,ACA272C064,ST,+,1.0000
1200-455,1200,F4-AJ2-1/2,ST,+,2.0000
1203-458,1203,149-BLACK-SIZE38,ST,+,1.0000
1204-459,1204,6701-WHITE-SIZE42,ST,+,1.0000
1205-460,1205,29-BLACK-SIZE39,ST,+,1.0000
1207-461,1207,F4-AJ2-1/2,ST,+,10.0000
1209-462,1209,ACA272C082,ST,+,1.0000
1210-463,1210,V1SE-2021,ST,+,1.0000
1211-464,1211,B2A39,WP,+,1.0000
1211-465,1211,B2B54,WP,+,1.0000
1211-466,1211,B2A49,WP,-,1.0000
1211-467,1211,B2B57,WP,-,1.0000
1212-468,1212,B2A42,ST,+,1.0000
1214-470,1214,B2A42,ST,+,1.0000
1215-471,1215,B2A33,ST,+,10.0000
1216-472,1216,F3PDM-S81COE,ST,+,5.0000
1216-473,1216,F3Y-730-5/M,ST,-,5.0000
1221-474,1221,YU603,ST,+,3.0000
1222-475,1222,ACA272C008,ST,+,1.0000
1223-476,1223,70335,ST,+,2.0000
1224-477,1224,B2B58,ST,+,1.0000
1225-478,1225,B2B58,ST,+,2.0000
1226-479,1226,F4-AJ2-1/2,ST,+,5.0000
1227-480,1227,B2B30,ST,+,10.0000
1227-481,1227,B2B33,ST,+,10.0000
1227-482,1227,B2B37,ST,+,20.0000
1227-483,1227,B2B54,ST,+,30.0000
1227-484,1227,B2B58,ST,+,30.0000
1227-485,1227,B2B59,ST,+,30.0000
1227-486,1227,B2B60,ST,+,10.0000
1230-488,1230,ACA272C009,ST,-,8.0000
1231-489,1231,ACA272C009,ST,+,8.0000
1232-492,1232,ACA272C008,ST,+,1.0000
1233-493,1233,038617455,ST,-,6.0000
1233-494,1233,038615900,ST,+,6.0000
1233-495,1233,TJF006A061J,ST,-,1.0000
1234-496,1234,R20-332-019-150,ST,+,1.0000
1235-497,1235,B2A28,ST,+,1.0000
1236-498,1236,ACA222B001,ST,-,4.0000
1236-499,1236,ACA226D006,ST,-,2.0000
1236-500,1236,ACA272C054,ST,+,4.0000
1236-502,1236,ACA932C023,ST,-,2.0000
1236-503,1236,ACA932C031,ST,-,2.0000
1236-505,1236,B3NU1005,ST,-,1.0000
1236-506,1236,BSA006A012F,ST,-,4.0000
1236-509,1236,E2-230-400VA,ST,-,4.0000
1236-510,1236,E2-415-400VA,ST,-,10.0000
1236-512,1236,ERC05,ST,-,13.0000
1236-513,1236,M649T04471,ST,-,2.0000
1236-514,1236,MD008762,ST,+,1.0000
1236-515,1236,MD115472,ST,+,6.0000
1236-517,1236,MM408998,ST,-,1.0000
1236-518,1236,MM409326,ST,+,1.0000
1236-519,1236,MM432104,ST,-,1.0000
1236-520,1236,MM433385,ST,-,1.0000
1236-522,1236,MM437880,ST,-,1.0000
1236-523,1236,MM437881,ST,+,1.0000
