A0001-B,"11 PIONEER ROAD NORTH
#01 - 67
SINGAPORE 628462
 11 PIONEER ROAD NORTH 01 67   SINGAPORE",67,11,628462,2654683,1,1
A0002,"8826 SECTION 64, K.T.L.D,JALAN SUNGAI PRIOK,P.O. BOX 2796,
KUCHING 
MALAYSIA 93754 8826 SECTION 64, K.T.L.D,JALAN SUNGAI PRIOK,P.O. BOX 2796,    KUCHING  MALAYSIA", ,8826,93754,082-334395,1,1
A0003,"42 JALAN SESAMA,TAMAN PERUSAHAAN BATU CAVES,
KUALA LUMPUR 68100
 MALAYSIA
 42 JALAN SESAMA,TAMAN PERUSAHAAN BATU CAVES,    KUALA LUMPUR  MALAYSIA",,42,68100,03-6884255,1,1
A0004,"7 1/4 MILESTONE, JALAN SUNGAI BESI, P.O. BOX 12126, 
 KUALA LUMPUR 
MALAYSIA 50768 7 1/4 MILESTONE, JALAN SUNGAI BESI, P.O. BOX 12126,     KUALA LUMPUR  MALAYSIA",,7,50768,03-9585306,1,1
A0005,"32  LOK YANG WAY
SINGAPORE  628639 32  LOK YANG WAY      SINGAPORE ",,32,628639,2654088/2616016,1,1
A0006,"3  PIONEER ROAD NORTH 
SINGAPORE  628457 3  PIONEER ROAD NORTH      SINGAPORE ",NULL,3,628457,2685120,1,1
A0007,"11 GUL STREET 2
SINGAPORE 218673
 11 GUL STREET 2     SINGAPORE",,11,218673,8617322,1,1
A0008," 331 JALAN BESAR,
SINGAPORE 208983
  331 JALAN BESAR,     SINGAPORE",,,208983,6296 0679/6292 7728,1,1
A0009,"11B LORONG TELOK
SINGAPORE 049024 11B LORONG TELOK     SINGAPORE",,11B,49024,5352627,1,1
A0010,"5022 ANG MO KIO IND'L PK 2
#01 - 31
SINGAPORE 569525
 5022 ANG MO KIO IND'L PK 2 01 31   SINGAPORE",31,5022,569525,6483 5888,1,1
A0011,"40 GUL CIRCLE,
JURONG INDUSTRIAL ESTATE, 
SINGAPORE 629575 40 GUL CIRCLE,   JURONG INDUSTRIAL ESTATE,  SINGAPORE",,40,629575,6861 7322,1,1
A0012,"40 JOO KOON CIRCLE
SINGAPORE 629064 40 JOO KOON CIRCLE      SINGAPORE",,40,629064,8612155,1,1
A0013,       ,NULL,NULL,NULL,NULL,1,1
A0014,"WELLINGTON HEAD OFFICE P.O. BOX 14-122, 
WELLINGTON 
NEW ZEALAND   WELLINGTON HEAD OFFICE P.O. BOX 14-122,     WELLINGTON  NEW ZEALAND", ,,,64-4-3879114,1,1
A0015,"65 JOO KOON CIRCLE
SINGAPORE 629078
 65 JOO KOON CIRCLE      SINGAPORE",,65,629078,6863 0188,1,1
A0016,"10 SCIENCE PARK ROAD,
# 01 - 01A
 SINGAPORE SCIENCE PARK II THE ALPHA 
SINGAPORE 117684 10 SCIENCE PARK ROAD, 01 01A  SINGAPORE SCIENCE PARK II THE ALPHA  SINGAPORE",01A,10,117684,6419 9030 / 6419 9027,1,1
A0017,"614 ELIAS ROAD
# 05 - 120
SINGAPORE 510614 614 ELIAS ROAD 05 120   SINGAPORE",120,614,510614,,1,1
A0018,"31 TOH GUAN ROAD EAST,L W TECHNO CENTRE,
#03 - 06
SINGAPORE 608608
 31 TOH GUAN ROAD EAST,L W TECHNO CENTRE, 03 06   SINGAPORE",6,31,608608,6569 7556,1,1
A0019,"1005 EUNOS AVE 7 
#01 - 06/08
SINGAPORE 409576
 1005 EUNOS AVE 7  01 06/08   SINGAPORE",8-Jun,1005,409576,6742 9595,1,1
A0020,"5040 ANG MO KIO IND. PARK 2
# 01 - 445
SINGAPORE 569543 5040 ANG MO KIO IND. PARK 2 01 445   SINGAPORE",445,5040,569543,,1,1
A0021,"11 THIRD LOK YANG  ROAD
SINGAPORE 628006
 11 THIRD LOK YANG  ROAD     SINGAPORE",,11,628006,66268 0330 / 6868 3363,1,1
A0022,"3023 UBI ROAD 3,
UBIPLEX 1
#05 - 10
SINGAPORE 408663
 3023 UBI ROAD 3,
UBIPLEX 1 05 10   SINGAPORE",10,3023,408663,6542 4321,1,1
A0023,"10 CUTTER MILL ROAD, GREAT NECK, 
# SUITE #203
NEW YORK 
USA 11021 10 CUTTER MILL ROAD, GREAT NECK,  SUITE #203  NEW YORK  USA",,10,11021,(516)487 9870,1,1
A0024,"8 SUNGEI KAGUT ST 5
SINGAPORE 728955 8 SUNGEI KAGUT ST 5       SINGAPORE",,8,728955,"96802968 , 9362 1511",1,1
A0025,"2019 BUKIT BATOK STREET 23 ,
#02 - 258
SINGAPORE 659524
 2019 BUKIT BATOK STREET 23 , 02 258 INDUSTRIAL PARK A  SINGAPORE",258,2019,659524,6560 2033,1,1
A0026,"60 KAKI BUKIT PLACE, 
# 06 - 16
 EUNOS TECHPARK 
SINGAPORE 415979 60 KAKI BUKIT PLACE,  06 16  EUNOS TECHPARK  SINGAPORE",16,60,415979,6749 4209,1,1
A0027,"224 TIANMUSHAN ROAD ,  BUILDING III-WEST  
# SUITE 1502 
HANGZHOU 
CHINA  224 TIANMUSHAN ROAD ,  BUILDING III-WEST   SUITE 1502    HANGZHOU  CHINA", ,224,,86 571 85029626,1,1
A0028," 1 TUAS BAY CLOSE
WEST WING LINER @ TUAS
#03 - 02
SINGAPORE 636997
  1 TUAS BAY CLOSE
WEST WING LINER @ TUAS 03 02   SINGAPORE",2,,636997,+65 6558 8911,1,1
A0029,"250 BUKIT BATOK EAST AVE 5,
# 12 - 160
SINGAPORE 650250 250 BUKIT BATOK EAST AVE 5, 12 160   SINGAPORE",160,250,650250,"9746 7687,8188 2927",1,1
A0030,"43 SENOKO WAY
SINGAPORE 758054 43 SENOKO WAY      SINGAPORE",,43,758054,6753 4552/9386 3037(H/P),1,1
A0031,"10 JALAN BESAR ,  SIM LIM TOWER
#01 - 05/06
SINGAPORE 208787
 10 JALAN BESAR ,  SIM LIM TOWER 01 05/06   SINGAPORE",6-May,10,208787,6296 0226,1,1
A0032,"9 TAGORE LANE @TAGORE
#04 - 27
SINGAPORE 787472
 9 TAGORE LANE @TAGORE 04 27   SINGAPORE",27,9,787472,6257 7732,1,1
A0033,"2 JURONG EAST STREET 21
IMM BUILDING
#04 - 70
SINGAPORE 609601
 2 JURONG EAST STREET 21
IMM BUILDING 04 70   SINGAPORE",70,2,609601,6566 3311,1,1
A0034,"229 MOUNTBATTEN ROAD,
MOUNTBATTEN SQUARE
#01 - 01
SINGAPORE 398007
 229 MOUNTBATTEN ROAD,
MOUNTBATTEN SQUARE 01 01   SINGAPORE",1,229,398007,6748 6505,1,1
A0035,"9 JALAN RENGAS,
SINGAPORE 808529 9 JALAN RENGAS,      SINGAPORE",,9,808529,6481 5760,1,1
A0036,"15A TUAS ROAD,
SINGAPORE 638517 15A TUAS ROAD,     SINGAPORE",,15A,638517,6863-5636,1,1
A0037,"105 KILLINEY ROAD,
SINGAPORE 239546
 105 KILLINEY ROAD,     SINGAPORE",,105,239546,9737 3289,1,1
A0038," OWEN ROAD
#148 - 160
SINGAPORE 218945
  OWEN ROAD 148 160   SINGAPORE",160,,218945,6293 1958,1,1
A0039,"727 134TH STREET SW EVERETT,
WA 98204
 USA
 727 134TH STREET SW EVERETT,    WA  USA",,727,98204,,1,1
A0040,"8 PENJURU PLACE
# 01 - 48
2.8 PENJURU TECH HUB 
SINGAPORE 608780 8 PENJURU PLACE 01 48 2.8 PENJURU TECH HUB  SINGAPORE",48,8,608780,6795 4195,1,1
