sku,name,category_id,uom_id,auto_reorder,lead_time,reorder_level,remark,quantity_to_reorder,status,price,VendorIDs,warehouses
GDGI-M10X80MM,GI WEDGE ANCHOR  M10 X 80mm (ZINC PLATE),ZZ0,PC,0,,0.0000,,0.0000,1,0.90000000,",,,,,,,,,I0019",GRN-1-GDGI-M10X80MM----------ST----------0.0000
C3-1905-G24V,LED INDICATOR GREEN 24V(ELEMENT14-1105266),MIP,PC,1,,10.0000,,20.0000,1,8.00000000,"A0001-B,,,,,,,,,E0047","GRN-1-C3-1905-G24V----------ST----------18.0000,,,,,,,,,GRN-1-C3-1905-G24V----------TL----------0.0000"
RDMU-DK1640,PLASTIC MUDGUARD DK1640 ( 1 SET = 2 PCS ),ZZ0,SET,0,,0.0000,,0.0000,1,150.00000000,"A0001-B,,,,,,,,,H0021",GRN-1-RDMU-DK1640----------ST----------0.0000
DDA102-SA1,DRIER R134A - N/DENSO,AAC,PC,1,,1.0000,,2.0000,1,58.00000000,A0003,"GRN-1-DDA102-SA1----------ST----------3.0000,,,,,,,,,GRN-1-DDA102-SA1----------TL----------0.0000"
MTA-TA-0117,MITSUBISHI CANTER THERMO CONTROL SET  (FE/FB),MTA,SET,0,,0.0000,THIS 40 PCS IS WITHOUT THE BRACKET.,0.0000,1,80.00000000,"A0003,,,,,,,,,C0049,,,,,,,,,S0012","GRN-1-MTA-TA-0117----------GB----------0.0000,,,,,,,,,GRN-1-MTA-TA-0117----------KB----------0.0000,,,,,,,,,GRN-1-MTA-TA-0117----------ST----------18.0000,,,,,,,,,GRN-1-MTA-TA-0117----------TL----------0.0000,,,,,,,,,GRN-1-MTA-TA-0117----------WD----------0.0000"
F4-5/8STF,ALU. FITTING W/ FERRULE 5/8 STRAIGHT,ZZ0,PC,1,,10.0000,FOR ELECTRICAL STANDBY.,20.0000,1,8.00000000,"A0003,,,,,,,,,M0001,,,,,,,,,V0015","GRN-1-F4-5/8STF----------ST----------16.0000,,,,,,,,,GRN-1-F4-5/8STF----------TL----------0.0000"
DBDRBISS-6.8,PROJOBBER COBALT DRILL 6.8MM,ZZ0,PC,0,,0.0000,,0.0000,1,9.50000000,A0008,GRN-1-DBDRBISS-6.8----------ST----------0.0000
WCE7018,KOBELCO E7018 WELDING ELECTRODE DIA 3.2MM (5KG/PACK),ZZ0,PKT,0,,0.0000,,0.0000,1,45.00000000,A0008,GRN-1-WCE7018----------ST----------0.0000
F4-TS-038B,3/8 TEE SPLICER,ZZ0,PC,1,,1.0000,,3.0000,1,7.60000000,"A0008,,,,,,,,,B0028","GRN-1-F4-TS-038B----------ST----------3.0000,,,,,,,,,GRN-1-F4-TS-038B----------TL----------0.0000"
TAMETA-8M,MEASURING TAPE 8MTR (STANLEY),ZZ0,PC,1,,4.0000,,6.0000,1,32.00000000,"A0008,,,,,,,,,B0028,,,,,,,,,C0046,,,,,,,,,S0003",GRN-1-TAMETA-8M----------ST----------8.0000
CABLCHPO,STANLEY / IRWIN  BLUE CHALK POWDER,ZZ0,PC,0,,0.0000,,0.0000,1,22.00000000,"A0008,,,,,,,,,C0046",GRN-1-CABLCHPO----------ST----------0.0000
TAMETA-10M,MEASURING TAPE 10MTR ( METZ ),ZZ0,PC,1,,1.0000,,2.0000,1,12.00000000,"A0008,,,,,,,,,C0046,,,,,,,,,S0012,,,,,,,,,S0003",GRN-1-TAMETA-10M----------ST----------1.0000
AEHIAR-PAD100D,HITACHI ARMATURE FOR PAD 100D,ZZ0,PC,0,,0.0000,,0.0000,1,16.00000000,A0010,GRN-1-AEHIAR-PAD100D----------ST----------0.0000
BADRMABO-12V,DRILL MACHINE BATTERY CHARGES BOSCH 12V,ZZ0,PC,0,,0.0000,,0.0000,1,90.00000000,A0010,GRN-1-BADRMABO-12V----------ST----------0.0000
BADRMAMO-BN10VA,BATTERY DC DRILL MOTOR 9.6V (MOSTA)  MODEL:BN10VA,ZZ0,PC,0,,0.0000,,0.0000,1,50.00000000,A0010,GRN-1-BADRMAMO-BN10VA----------ST----------0.0000
BDCABU-7500,CARBON BUSH USER FOR 7500SE (HYUNDAI),ZZ0,PC,0,,0.0000,,0.0000,1,57.60000000,A0010,GRN-1-BDCABU-7500----------ST----------0.0000
CKGLSTM1,GRINDING STONE M1 ( 25 X 34 ),ZZ0,PC,0,,0.0000,,0.0000,1,3.00000000,A0010,GRN-1-CKGLSTM1----------ST----------0.0000
CKGLSTM4,GRINDING STONE M4 ( 26 X 27 ),ZZ0,PC,0,,0.0000,,0.0000,1,3.00000000,A0010,GRN-1-CKGLSTM4----------ST----------0.0000
CKGR-RG4620,"BULLMASTER 4"" GRINDER RG4620 ( TG4620 )",ZZ0,PC,0,,0.0000,,0.0000,1,70.00000000,A0010,GRN-1-CKGR-RG4620----------ST----------0.0000
CKGRST-1X6X25,CIRCULAR SAND PAPER GRINDING WHEEL DIA 1” GRIT 120 SHANK 6MM,ZZ0,PC,0,,0.0000,,0.0000,1,9.00000000,A0010,GRN-1-CKGRST-1X6X25----------ST----------0.0000
CKTAHCD-M10X1.50X1,CIRCULAR DIE HSS TRIANGLE M10 X 1.50 OD 1”,ZZ0,PC,0,,0.0000,,0.0000,1,22.00000000,A0010,GRN-1-CKTAHCD-M10X1.50X1----------ST----------0.0000
CSCO-MALS1040,COIL FOR MITE SAW  LS1040 (MAKITA),ZZ0,PC,0,,0.0000,,0.0000,1,30.00000000,A0010,GRN-1-CSCO-MALS1040----------ST----------0.0000
CSCO-MC5008B,COIL FOR MAKITA CIRCULAR SAW MODEL -5008B (PART NO: 524539-4),ZZ0,PC,0,,0.0000,,0.0000,1,129.40000000,A0010,GRN-1-CSCO-MC5008B----------ST----------0.0000
D1DRILLBIT10MM,DRILL BIT PROJOBBER 10MM,ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-D1DRILLBIT10MM--------------------
D1DRILLBIT11.5MM,DRILL BIT PROJOBBER 11.5MM,ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-D1DRILLBIT11.5MM--------------------
D1DRILLBIT11MM,DRILL BIT PROJOBBER 11MM,ZZZ,PC,0,,0.0000,,0.0000,0,9.20000000,A0010,GRN-3-D1DRILLBIT11MM--------------------
D1DRILLBIT12.5MM,DRILL BIT PROJOBBER 12.5MM,ZZZ,PC,0,,0.0000,,0.0000,0,11.60000000,A0010,GRN-3-D1DRILLBIT12.5MM--------------------
D1DRILLBIT12MM,DRILL BIT PROJOBBER 12MM,ZZZ,PC,0,,0.0000,,0.0000,0,10.70000000,A0010,GRN-3-D1DRILLBIT12MM--------------------
D1DRILLBIT13.5MM,DRILL BIT PROJOBBER 13.5MM,ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-D1DRILLBIT13.5MM--------------------
D1DRILLBIT15MM,DRILL BIT PROJOBBER 15MM,ZZZ,PC,0,,0.0000,,0.0000,0,15.00000000,A0010,GRN-3-D1DRILLBIT15MM--------------------
D1DRILLBIT3.0MM,DRILL BIT PROJOBBER 3.0MM,ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-D1DRILLBIT3.0MM--------------------
D1DRILLBIT3.2MM,DRILL BIT PROJOBBER 3.2MM,ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-D1DRILLBIT3.2MM--------------------
D1DRILLBIT4.0MM,DRILL BIT PROJOBBER 4.0MM,ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-D1DRILLBIT4.0MM--------------------
D1DRILLBIT5.5MM,DRILL BIT PROJOBBER 5.5MM,ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-D1DRILLBIT5.5MM--------------------
D1DRILLBIT5MM,DRILL BIT PROJOBBER 5MM,ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-D1DRILLBIT5MM--------------------
D1DRILLBIT6.5MM,DRILL BIT PROJOBBER 6.5MM,ZZZ,PC,0,,0.0000,,0.0000,0,0.01000000,A0010,GRN-3-D1DRILLBIT6.5MM--------------------
