code,product_id,adjustment,reason,type
1049,C7-8915-74,150,STOCK ADJUST,OPENING
1050,C7-35612-74,150,STOCK ADJUST,OPENING
1052,F4-AJ2-1/2,20,STOCK ADJSUT,OPENING
1053,S2/2GANGON/OFFSW,10,STOCK ADJUST,OPENING
1054,FC505-08,5,STOCK ADJUST,OPENING
1054,TE203,3,STOCK ADJUST,OPENING
1056,B2B45,-1,STOCK ADJUST,OPENING
1056,ACA201A020,5,STOCK ADJUST,OPENING
1056,ACA272C008,5,STOCK ADJUST,OPENING
1056,TCP11C2,-5,STOCK ADJUST,OPENING
1058,FC505-08,1,STOCK ADJUST,OPENING
1059,F5-TU73-A,1,STOCK ADJUST,OPENING
1060,103-46,-1,STOCK ADJUST,OPENING
1062,B2B49,-2,STOCK ADJUST,OPENING
1063,PA4279-2P,1,STOCK ADJUST,OPENING
1064,F5-TU42-O,10,STOCK ADJUST,OPENING
1064,F5-TU42-A,1,STOCK ADJUST,OPENING
1064,F5-TU73-O,3,STOCK ADJUST,OPENING
1064,F5-TU73-A,3,STOCK ADJUST,OPENING
1066,B2A47,-2,STOCK ADJUST,OPENING
1067,TSJ423J007,10,STOCK ADJUST,OPENING
1068,C7-8915-74,150,STOCK ADJUST,OPENING
1068,C7-35612-74,150,STOCK ADJUST,OPENING
1068,F4-AJ3,50,STOCK ADJUST,OPENING
1069,F4-AJ2-1/2,30,STOCK ADJUST,OPENING
1070,MM31760401,-1,STOCK ADJUST,OPENING
1070,MD030629,-1,STOCK ADJUST,OPENING
1072,SSA925C051R,-1,STOCK ADJUST,OPENING
1072,SSA383B410,-1,STOCK ADJUST,OPENING
1072,F3Y-730-5/M,-1,STOCK ADJUST,OPENING
1073,B2B54,2,STOCK ADJUST,OPENING
1074,TE202,1,STOCK ADJUST,OPENING
1075,F3Y-730-5/M,-1,STOCK ADJUST,OPENING
1075,F3PDM-S81COE,1,STOCK ADJUST,OPENING
1076,PA4279-2P,5,STOCK ADJUST,OPENING
1077,B36204-2RS,15,STOCK ADJUST,OPENING
1078,B36203-2RS,5,STOCK ADJUST,OPENING
1079,F3Y-730-7,5,STOCK ADJUST,OPENING
1080,B2B59,6,STOCK ADJUST,OPENING
1081,F4-RFN-0403,20,STOCK ADJUST,OPENING
1082,SAA512A103,-2,STOCK ADJUST,OPENING
1083,F3Y-730-5/M,-5,STOCK ADJUST,OPENING
1083,F3PDM-S81COE,5,STOCK ADJUST,OPENING
1084,885-WHITE-SIZE44,-1,STOCK ADJUST,OPENING
1084,88-BLACK-SIZE44,-1,STOCK ADJUST,OPENING
1086,B2B45,-3,STOCK ADJUST,OPENING
1086,B2B48,-2,STOCK ADJUST,OPENING
1086,B2B49,-2,STOCK ADJUST,OPENING
1086,B2A39,-1,STOCK ADJUST,OPENING
