TypeID,TypeName,AdjustmentAccCode,IsDefault,CreatedDate,CreatedBy,LastUpdatedDate,LastUpdatedBy,IsActive
ASSEMBLY,ASSEMBLED INTO A KIT,400000,0,2011-07-01 15:45:15.250,Peiwen,2011-07-01 15:45:15.250,Peiwen,1
BREAKAGE,LOSS DUE TO BREAKAGE,400000,0,2011-07-01 15:45:15.250,Peiwen,2011-07-01 15:45:15.250,Peiwen,1
ENVIRONMENT,ENVIROMENTAL FLOOD / MOLD / WEATHER DAMAGE,400000,0,2011-07-01 15:45:15.250,Peiwen,2011-07-01 15:45:15.250,Peiwen,1
MTA-STKIN,MTA STOCK IN AS A SET.,400000,0,2011-07-13 14:15:29.920,Peiwen,2011-07-13 14:15:29.920,Peiwen,1
MTA-STKOUT,MTA STOCK OUT - ISSUE AS A SET.,400000,0,2011-07-13 14:15:05.373,Peiwen,2011-07-13 14:15:05.373,Peiwen,1
OPENING,OPENING ADJUSTMENT,400000,0,2011-07-01 15:45:15.250,Peiwen,2011-07-01 15:45:15.250,Peiwen,1
SERVICE ERROR,SERVICE DEPT ERROR,400000,0,2011-09-28 13:49:28.673,MNG003,2011-09-28 13:49:28.673,MNG003,1
SHRINK,LOSS DUE TO SHRINKAGE,400000,0,2011-07-01 15:45:15.250,Peiwen,2011-07-01 15:45:15.250,Peiwen,1
SPOILAGE,LOSS DUE TO SPOLIAGE,400000,0,2011-07-01 15:45:15.250,Peiwen,2011-07-01 15:45:15.250,Peiwen,1
STOCK TAKE,STOCK TAKE,400000,1,2011-07-01 15:45:15.250,Peiwen,2011-07-01 15:45:15.250,Peiwen,1
