code,origin_store_id,destination_store_id,product_id_in,adjustment_in,type_in,product_id_out,adjustment_out,type_out,reason_in
5485,ST,TL,57035,20,OPENING,57035,-1,Item Transfer,AS PER REQUEST BY JAYSIE.THIS VIKAN PRODUCT MOVE TO SHOWROOM
4178,ST,TL,70115766,42,OPENING,70115766,-2,Item Transfer,REFER TO VEC NO:GW5885-HJ-1963-TAKEN BY RAJA
4278,ST,TL,70115766,42,OPENING,70115766,-17,Item Adjustment,ISSUE TO EDWIN E2A415ES12FG-5 SETS
4278,ST,TL,70820809,59,OPENING,70820809,-4,Item Adjustment,ISSUE TO EDWIN E2A415ES12FG-5 SETS
4788,ST,WD,70820809,59,OPENING,70820809,-1,Item Adjustment,issue to northlink on 31/07/15
4278,ST,TL,70822017,5,OPENING,70822017,-1,Item Adjustment,ISSUE TO EDWIN E2A415ES12FG-5 SETS
411,WD,ST,071423533C,2,OPENING,071423533C,-2,Item Transfer,STOCK RETURN TO STORE
5704,ST,TL,71921023,12,OPENING,71921023,-12,Item Adjustment,ISSUE TO EDWIN E2A2415ES24FG-5 SETS- 13/12/2021(MISSING ITEM C3RN33200-3PCS/C3-TR-ON/3-7-1PC)
5296,ST,WD,71922484,81,OPENING,71922484,-1,Item Adjustment,ISSUE TO NORTHLINK ON 07/08/17
4612,ST,WD,127301,3,OPENING,127301,-3,Item Adjustment,ISSUE TO NORTHLINK ON 04/09/14
4319,TL,ST,14-00326-03,5,OPENING,14-00326-03,-1,Item Adjustment,REFER TO VEC NO:GW7284-HJ-2041-TAKEN BY RAJA-RETURN TO STORE-ALREADY INV UNDER ST
16,KB,ST,14-00326-03,5,OPENING,14-00326-03,-4,Item Transfer,
5654,TL,ST,19323-BLACK-SIZE42,1,OPENING,19323-BLACK-SIZE42,-1,Item Adjustment,"AS PER REQUEST BY ECHO ON 16/12/2020. Please transfer following Vikan item from TL to ST, each one piece.  The items are sold."
4932,ST,TL,29145,6,OPENING,29145,-1,Item Transfer,AS PER REQUEST BY RICKY ...FOR FHA
741,ST,TL,29156,16,OPENING,29156,-1,Item Transfer,LOAN TO DORIS FOR FHA 2012
465,ST,TL,29223,7,OPENING,29223,-3,Item Transfer,STOCK ISSUE TO MRU..REFER TO P/O NO:2981..2973
5485,ST,TL,29223,7,OPENING,29223,-1,Item Transfer,AS PER REQUEST BY JAYSIE.THIS VIKAN PRODUCT MOVE TO SHOWROOM
395,ST,TL,29223,7,OPENING,29223,-1,Item Transfer,TRANSFER FOR MRU
742,ST,TL,29325,5,OPENING,29325,-1,Item Transfer,LOAN TO DORIS FOR FHA 2012
742,ST,TL,29342,17,OPENING,29342,-1,Item Transfer,LOAN TO DORIS FOR FHA 2012
2421,ST,TL,29342,17,OPENING,29342,-1,Item Transfer,STOCK AT SHOWROOM...TAKEN BY DORIS
2421,ST,TL,29345,21,OPENING,29345,-1,Item Transfer,STOCK AT SHOWROOM...TAKEN BY DORIS
5485,ST,TL,295418,1,OPENING,295418,-1,Item Transfer,AS PER REQUEST BY JAYSIE.THIS VIKAN PRODUCT MOVE TO SHOWROOM
169,ST,TL,30692,16,OPENING,30692,-1,Item Transfer,LOAN TO MARKEKING :DORIS ON 03/11/11
465,ST,TL,30692,16,OPENING,30692,-3,Item Transfer,STOCK ISSUE TO MRU..REFER TO P/O NO:2981..2973
2421,ST,TL,30892,14,OPENING,30892,-1,Item Transfer,STOCK AT SHOWROOM...TAKEN BY DORIS
4148,ST,TL,31792,2,OPENING,31792,-1,Item Adjustment,REFER TO VEC NO:GBB9598-HJ-1940-HJ-1940-TAKEN BY RAJA
4788,ST,WD,324500,26,OPENING,324500,-1,Item Adjustment,issue to northlink on 31/07/15
2421,ST,TL,35876,13,OPENING,35876,-1,Item Transfer,STOCK AT SHOWROOM...TAKEN BY DORIS
5485,ST,TL,37306,3,OPENING,37306,-1,Item Transfer,AS PER REQUEST BY JAYSIE.THIS VIKAN PRODUCT MOVE TO SHOWROOM
2421,ST,TL,38894,4,OPENING,38894,-1,Item Transfer,STOCK AT SHOWROOM...TAKEN BY DORIS
3192,ST,TL,38894,4,OPENING,38894,-1,Item Transfer,ISSUE TO DORIS ON 17/04/13
4357,ST,TL,38923,15,OPENING,38923,-2,Item Adjustment,REFER TO VEC NO:YL4046-HJ-2105-TAKEN BY RAJA
480,ST,TL,40503,5,OPENING,40503,-4,Item Transfer,ISSUE TO MRU...REFER P/O :2991
395,ST,TL,41853,14,OPENING,41853,-3,Item Transfer,TRANSFER FOR MRU
741,ST,TL,41954,4,OPENING,41954,-1,Item Transfer,LOAN TO DORIS FOR FHA 2012
2421,ST,TL,42872,3,OPENING,42872,-1,Item Transfer,STOCK AT SHOWROOM...TAKEN BY DORIS
4910,ST,WD,42872,3,OPENING,42872,-1,Item Adjustment,ISSUE TO NORTHHLINK ON 13/01/2016
742,ST,TL,45824,3,OPENING,45824,-1,Item Transfer,LOAN TO DORIS FOR FHA 2012
465,ST,TL,45865,10,OPENING,45865,-7,Item Transfer,STOCK ISSUE TO MRU..REFER TO P/O NO:2981..2973
1110,ST,TL,474115,9,OPENING,474115,-5,Item Transfer,ISSUE TO MRU UNDER P/O NO:3058
4473,ST,TL,47673,12,OPENING,47673,-1,Item Adjustment,REFER TO VEC NO:XD6554-HJ-2182-TAKEN BY RAJAN
169,ST,TL,47673,12,OPENING,47673,-1,Item Transfer,LOAN TO MARKEKING :DORIS ON 03/11/11
287,ST,TL,51902,675,OPENING,51902,-20,Item Transfer,issue under project
796,ST,TL,53702,9,OPENING,53702,-3,Item Transfer,ISSUE TO MRU UNDER P/O NO:3019
4889,ST,TL,53702,9,OPENING,53702,-1,Item Adjustment,ST STOCK TRANSFER OUT
2528,ST,TL,53702,9,OPENING,53702,-1,Item Transfer,ISSUE TO SHOW ROOM FOR SAMPLE REQUESTED BY DORIS
742,ST,TL,53792,2,OPENING,53792,-1,Item Transfer,LOAN TO DORIS FOR FHA 2012
2421,ST,TL,5380502,11,OPENING,5380502,-1,Item Transfer,STOCK AT SHOWROOM...TAKEN BY DORIS
4705,ST,TL,555070,11,OPENING,555070,-9,Item Adjustment,ISSUE  TO EDWIN-E2-A415ES24FG -5 SET ON 04/03/2015
169,ST,TL,5550703,7,OPENING,5550703,-1,Item Transfer,LOAN TO MARKEKING :DORIS ON 03/11/11
2475,ST,TL,558118,11,OPENING,558118,-1,Item Transfer,AS PER REQUESTED BY DORIS YAO TO PLACE IN SHOW ROOM
743,ST,TL,56104,1,OPENING,56104,-1,Item Transfer,LOAN TO DORIS FOR FHA 2012
2421,ST,TL,56805,10,OPENING,56805,-1,Item Transfer,STOCK AT SHOWROOM...TAKEN BY DORIS
4910,ST,WD,691012,5,OPENING,691012,-1,Item Adjustment,ISSUE TO NORTHHLINK ON 13/01/2016
4464,ST,TL,691012,5,OPENING,691012,-1,Item Transfer,ISSUE TO FHA 2014-TAKEN BY DORIS YAO
2421,ST,TL,70353,8,OPENING,70353,-1,Item Transfer,STOCK AT SHOWROOM...TAKEN BY DORIS
169,ST,TL,70402,19,OPENING,70402,-1,Item Transfer,LOAN TO MARKEKING :DORIS ON 03/11/11
574,ST,TL,70413,5,OPENING,70413,-1,Item Transfer,FOR MRU PO 2999
5486,ST,TL,70422,8,OPENING,70422,-1,Item Transfer,AS PER REQUEST BY JAYSIE.THIS VIKAN PRODUCT MOVE TO SHOWROOM
2313,ST,TL,70433,4,OPENING,70433,-1,Item Transfer,SALES MARKET-TAKEN BY DORIS
395,ST,TL,70433,4,OPENING,70433,-3,Item Transfer,TRANSFER FOR MRU
2421,ST,TL,70453,15,OPENING,70453,-1,Item Transfer,STOCK AT SHOWROOM...TAKEN BY DORIS
395,ST,TL,70603,8,OPENING,70603,-3,Item Transfer,TRANSFER FOR MRU
395,ST,TL,70605,8,OPENING,70605,-2,Item Transfer,TRANSFER FOR MRU
4148,ST,TL,70704,5,OPENING,70704,-1,Item Adjustment,REFER TO VEC NO:GBB9598-HJ-1940-HJ-1940-TAKEN BY RAJA
743,ST,TL,70734,7,OPENING,70734,-1,Item Transfer,LOAN TO DORIS FOR FHA 2012
4320,ST,TL,70822,7,OPENING,70822,-3,Item Adjustment,Refer to Vec No: YM7173-HJ2071-Taken By Raja
20,KB,ST,70822,7,OPENING,70822,-4,Item Transfer,STOCK CAME FROM KAKI BUKIT
169,ST,TL,70829,10,OPENING,70829,-1,Item Transfer,LOAN TO MARKEKING :DORIS ON 03/11/11
5486,ST,TL,70829,10,OPENING,70829,-1,Item Transfer,AS PER REQUEST BY JAYSIE.THIS VIKAN PRODUCT MOVE TO SHOWROOM
5296,ST,WD,70911,44,OPENING,70911,-2,Item Adjustment,ISSUE TO NORTHLINK ON 07/08/17
458,ST,TL,77315,1,OPENING,77315,-1,Item Transfer,LOAN OUT BY DORIS ON 06/02/12...
743,ST,TL,77536,3,OPENING,77536,-1,Item Transfer,LOAN TO DORIS FOR FHA 2012
743,ST,TL,77644,30,OPENING,77644,-1,Item Transfer,LOAN TO DORIS FOR FHA 2012
740,ST,TL,8005-BLACK-SIZE43,2,OPENING,8005-BLACK-SIZE43,-1,Item Transfer,LOAN TO DORIS FOR FHA 2012
5654,TL,ST,88-BLACK-SIZE45,1,OPENING,88-BLACK-SIZE45,-1,Item Adjustment,"AS PER REQUEST BY ECHO ON 16/12/2020. Please transfer following Vikan item from TL to ST, each one piece.  The items are sold."
4211,ST,TL,A05PADLATCH,170,OPENING,A05PADLATCH,-170,Item Adjustment,REFER TO VEC NO:YM2269-HJ-1817-TAKEN BY RAJA
1856,ST,TL,ACA214B005,5,OPENING,ACA214B005,-1,Item Transfer,REFER TO VEC NO:YL1470-SC-106.TAKEN BY SUNDRAM
275,ST,TL,ACA214B005,5,OPENING,ACA214B005,-1,Item Transfer,"REFER TO VEC NO::YL6067,,YJ9327..GX4554"
3980,ST,TL,ACA222B023,12,OPENING,ACA222B023,-2,Item Transfer,REFER TO OVERHAUL -HJ-1821-TAKEN BY RAJA
