code,country,name,phone,uen,account_manager,remark,credit_term,credit_limit,poc_first_name,poc_phone,poc_email,poc_title,address_address,address_unit_no,address_building_name,address_postal_code,address_phone
A0001-B,SINGAPORE,ALBAR ENGINEERING PTE LTD,2654683,198701894N,,,NET 30,,MR ROGER LEE,9832 9625,albar.lee@gmail.com,,"11 PIONEER ROAD NORTH
#01 - 67
SINGAPORE 628462
",67,,628462,2654683
A0002,MALAYSIA,AC AUTO PARTS SDN BHD,082-334395,,,,NET 30,,MR ROGER LEE,9832 9625,albar.lee@gmail.com,,"8826 SECTION 64, K.T.L.D,JALAN SUNGAI PRIOK,P.O. BOX 2796,
KUCHING 
MALAYSIA 93754", ,,93754,082-334395
A0003,MALAYSIA,AUTO AIR INDUSTRIES SDN. BHD.,03-6884255,,,,NET 30,,M/S: Nafela,603-6075 3333,autoair@autoairgroup.com,,"42 JALAN SESAMA,TAMAN PERUSAHAAN BATU CAVES,
KUALA LUMPUR 68100
 MALAYSIA
",,,68100,03-6884255
A0004,MALAYSIA,ASIA TRANSPORT SERVICE (M) SDN. BHD.,03-9585306,,,,NET 30,,M/S: Nafela,603-6075 3333,autoair@autoairgroup.com,,"7 1/4 MILESTONE, JALAN SUNGAI BESI, P.O. BOX 12126, 
 KUALA LUMPUR 
MALAYSIA 50768",,,50768,03-9585306
A0005,SINGAPORE ,ALLOYS INTERNATIONAL PTE LTD,2654088/2616016,197401376C,,,NET 30,,M/S: Nafela,603-6075 3333,autoair@autoairgroup.com,,"32  LOK YANG WAY
SINGAPORE  628639",,,628639,2654088/2616016
A0006,SINGAPORE ,AUTO ZOOM (PTE) LTD,2685120,199202583K,,,NET 30,,M/S: Nafela,603-6075 3333,autoair@autoairgroup.com,,"3  PIONEER ROAD NORTH 
SINGAPORE  628457",,,628457,2685120
A0007,SINGAPORE,ABILITY ENGINEERING (PTE) LTD,8617322,197700044M,,,NET 30,,M/S: Mee Yan,68611120,meeyanlee@eaton.com,,"11 GUL STREET 2
SINGAPORE 218673
",,,218673,8617322
A0008,SINGAPORE,ALLINTON ENGINEERING & TRADING PTE LTD,6296 0679/6292 7728,198201763M,,,NET DUE,,Patrick,9745 4412,kinhoong@allinton.com.sg,," 331 JALAN BESAR,
SINGAPORE 208983
",,,208983,6296 0679/6292 7728
A0009,SINGAPORE,ASBY ADVERTISING PTE LTD,5352627,198903966M,,,NET 30,,Patrick,9745 4412,kinhoong@allinton.com.sg,,"11B LORONG TELOK
SINGAPORE 049024",,,049024,5352627
A0010,SINGAPORE,AIK CHIN HIN MACHINERY CO,6483 5888,20030400C,,,NET 30,,KOKO,64835888,koko@aikchinhin.com,,"5022 ANG MO KIO IND'L PK 2
#01 - 31
SINGAPORE 569525
",31,,569525,6483 5888
A0011,SINGAPORE,A.E.HYDRAULIC (PTE) LTD,6861 7322,199905358M,,,NET 30,,KOKO,64835888,koko@aikchinhin.com,,"40 GUL CIRCLE,
JURONG INDUSTRIAL ESTATE, 
SINGAPORE 629575",,,629575,6861 7322
A0012,SINGAPORE,ADDITIVE CIRCUITS (S) PTE LTD,8612155,198402171Z,,,NET 30,,KOKO,64835888,koko@aikchinhin.com,,"40 JOO KOON CIRCLE
SINGAPORE 629064",,,629064,8612155
A0013,,NOT IN USE,,,,,NET 15,,KOKO,64835888,koko@aikchinhin.com,,,,,,
A0014,NEW ZEALAND,A.E. TILLEY LTD,64-4-3879114,,,,NET 30,,KOKO,64835888,koko@aikchinhin.com,,"WELLINGTON HEAD OFFICE P.O. BOX 14-122, 
WELLINGTON 
NEW ZEALAND ", ,,,64-4-3879114
A0015,SINGAPORE,ASIATIC FIRE SYSTEM PTE LTD,6863 0188,198601261M,,,NET 30,,BILL,6863 0188,,,"65 JOO KOON CIRCLE
SINGAPORE 629078
",,,629078,6863 0188
A0016,SINGAPORE,ARKEMA PTE LTD,6419 9030 / 6419 9027,200408093K,,,NET 30,,BILL,6863 0188,,,"10 SCIENCE PARK ROAD,
# 01 - 01A
 SINGAPORE SCIENCE PARK II THE ALPHA 
SINGAPORE 117684",01A,,117684,6419 9030 / 6419 9027
A0017,SINGAPORE,AMS MACHINERY,,52899679K,,,NET 30,,BILL,6863 0188,,,"614 ELIAS ROAD
# 05 - 120
SINGAPORE 510614",120,,510614,
A0018,SINGAPORE,ATTC (ASIAN) PTE LTD,6569 7556,199605077M,,,NET DUE,,MR ALFRED PHUA,9092 9595,,,"31 TOH GUAN ROAD EAST,L W TECHNO CENTRE,
#03 - 06
SINGAPORE 608608
",06,,608608,6569 7556
A0019,SINGAPORE,AMCOWELD INC. PTE LTD,6742 9595,200407547G,,,NET 30,,MR WILFORD GOH    H/P: 9794 9595,6742 9595,sales@amcoweld.com.sg,,"1005 EUNOS AVE 7 
#01 - 06/08
SINGAPORE 409576
",06/08,,409576,6742 9595
A0020,SINGAPORE,APEX CHEMICALS (S) PTE LTD,,199305683W,,,NET 30,,MR WILFORD GOH    H/P: 9794 9595,6742 9595,sales@amcoweld.com.sg,,"5040 ANG MO KIO IND. PARK 2
# 01 - 445
SINGAPORE 569543",445,,569543,
A0021,SINGAPORE,AIK HOCK HARDWARE ENGRG PTE LTD,66268 0330 / 6868 3363,198500171K,,,NET 30,,MS GABY KOH    ,6268 0330,ahind@singnet.com.sg,,"11 THIRD LOK YANG  ROAD
SINGAPORE 628006
",,,628006,66268 0330 / 6868 3363
A0022,SINGAPORE,AIRVAC PRIVATE LIMITED,6542 4321,198800231E,,,NET 30,,MS LINDA,6542 4321,,,"3023 UBI ROAD 3,
UBIPLEX 1
#05 - 10
SINGAPORE 408663
",10,,408663,6542 4321
A0023,USA,ACAL NEW YORK INC.,(516)487 9870,,,,NET 30,,MS LINDA,6542 4321,,,"10 CUTTER MILL ROAD, GREAT NECK, 
# SUITE #203
NEW YORK 
USA 11021",,,11021,(516)487 9870
A0024,SINGAPORE,A.B.S. BUILDERS PTE LTD,"96802968 , 9362 1511",199802468G,,,NET 30,,MS LINDA,6542 4321,,,"8 SUNGEI KAGUT ST 5
SINGAPORE 728955",,,728955,"96802968 , 9362 1511"
A0025,SINGAPORE,ALSTRON (SINGAPORE) PTE LTD,6560 2033,198802079G,,,NET 30,,MS LINDA,6542 4321,,,"2019 BUKIT BATOK STREET 23 ,
#02 - 258
SINGAPORE 659524
",258,,659524,6560 2033
A0026,SINGAPORE,ALL PLUS INDUSTRIAL SERVICES PTE LTD,6749 4209,200105785C,,,NET 30,,MS LINDA,6542 4321,,,"60 KAKI BUKIT PLACE, 
# 06 - 16
 EUNOS TECHPARK 
SINGAPORE 415979",16,,415979,6749 4209
A0027,CHINA,"ARMORUSA CHINA CO., LTD",86 571 85029626,,,,NET 30,,MS LINDA,6542 4321,,,"224 TIANMUSHAN ROAD ,  BUILDING III-WEST  
# SUITE 1502 
HANGZHOU 
CHINA ", ,,,86 571 85029626
A0028,SINGAPORE,AERODYNAMIC METALS PTE LTD,+65 6558 8911,200912357E,,,NET 30,,Mr. Jimmy Tan    H/P: 9177 6822,65588911/91776822,jimmy@aerodynamicmetals.com,," 1 TUAS BAY CLOSE
WEST WING LINER @ TUAS
#03 - 02
SINGAPORE 636997
",02,,636997,+65 6558 8911
A0029,SINGAPORE,AH SONG TOWING,"9746 7687,8188 2927",53050355K,,,NET 30,,Mr. Jimmy Tan    H/P: 9177 6822,65588911/91776822,jimmy@aerodynamicmetals.com,,"250 BUKIT BATOK EAST AVE 5,
# 12 - 160
SINGAPORE 650250",160,,650250,"9746 7687,8188 2927"
A0030,SINGAPORE,ADEPT MACHINERY,6753 4552/9386 3037(H/P),53013599W,,,NET 30,,Mr. Jimmy Tan    H/P: 9177 6822,65588911/91776822,jimmy@aerodynamicmetals.com,,"43 SENOKO WAY
SINGAPORE 758054",,,758054,6753 4552/9386 3037(H/P)
A0031,SINGAPORE,A S K ELECTRONIC PTE LTD,6296 0226,200304852R,,,NET DUE,,Vincent Yong,62960226,vincent@askpl.com.sg,,"10 JALAN BESAR ,  SIM LIM TOWER
#01 - 05/06
SINGAPORE 208787
",05/06,,208787,6296 0226
A0032,SINGAPORE,ANGLEE ALUMINIUM INDUSTRIES PTE LTD,6257 7732,198203009M,,,NET 30,,MR ANG CHEE HUAT ,62577732,anglee992002@yahoo.com.sg,,"9 TAGORE LANE @TAGORE
#04 - 27
SINGAPORE 787472
",27,,787472,6257 7732
A0033,SINGAPORE,ACUMED MEDICAL PTE LTD,6566 3311,197300761M,,,NET 30,,MR ANG CHEE HUAT ,62577732,anglee992002@yahoo.com.sg,,"2 JURONG EAST STREET 21
IMM BUILDING
#04 - 70
SINGAPORE 609601
",70,,609601,6566 3311
A0034,SINGAPORE,FMD MANAGEMENT CONSULTANTS PTE LTD,6748 6505,198400754C,,,NET 30,,MR ANG CHEE HUAT ,62577732,anglee992002@yahoo.com.sg,,"229 MOUNTBATTEN ROAD,
MOUNTBATTEN SQUARE
#01 - 01
SINGAPORE 398007
",01,,398007,6748 6505
A0035,SINGAPORE,AIRPORT EQUIPMENT SERVICES PTE.LTD,6481 5760,199400661M,,,NET 30,,MR ANG CHEE HUAT ,62577732,anglee992002@yahoo.com.sg,,"9 JALAN RENGAS,
SINGAPORE 808529",,,808529,6481 5760
A0036,SINGAPORE,ASSOCIATED SPRING RAYMOND ASIA,6863-5636,198100597E,,,NET 30,,MR ANG CHEE HUAT ,62577732,anglee992002@yahoo.com.sg,,"15A TUAS ROAD,
SINGAPORE 638517",,,638517,6863-5636
A0037,SINGAPORE,AUTO BECKER AIR-CONDITIONING,9737 3289,38742000B,,,NET 30,,Mr. Albert,97373289,,,"105 KILLINEY ROAD,
SINGAPORE 239546
",,,239546,9737 3289
A0038,SINGAPORE,ASIATIC REFRIGERATION PTE LTD,6293 1958,198800013M,,,NET DUE,,Ms: Jerine Ng,62931958,ng.jerine@asiaticgroup.com.sg ,," OWEN ROAD
#148 - 160
SINGAPORE 218945
",160,,218945,6293 1958
A0039,USA,ALL BATTERY SALES AND SERVICE,,,,,NET DUE,,Fred Royal,.,Ecommerce@allbatterysalesandservice.com,,"727 134TH STREET SW EVERETT,
WA 98204
 USA
",,,98204,
A0040,SINGAPORE,AUTO TECH SERVICES CENTRE,6795 4195,53078373L,,,NET 30,,Fred Royal,.,Ecommerce@allbatterysalesandservice.com,,"8 PENJURU PLACE
# 01 - 48
2.8 PENJURU TECH HUB 
SINGAPORE 608780",48,,608780,6795 4195
A0041,SINGAPORE,ASSA ABLOY SINGAPORE PTE LTD,6225 6969,199606073E,,,NET 30,,Fred Royal,.,Ecommerce@allbatterysalesandservice.com,,"37 JALAN PEMIMPIN ,    
# 04 - 03A
UNION INDUSTRIAL BUILDING BLOCK A  
SINGAPORE 577177",03A,,577177,6225 6969
A0042,SINGAPORE,AUYIN OFFICE FURNITURE,6774 1188,29238700L,,,NET 30,,MR GODFFRAY/MS YEO PEI SHI ,9388 8988,godfrey@auyin.com/sales3@auyin.com,," NO.31,BUKIT BATOK CRESCENT,THE SPLENDOUR
#01 - 29
SINGAPORE 658070
",29,,658070,6774 1188
A0043,SINGAPORE,ADMIRAL AIR-CONDITIONING & ENG. PTE LTD,,32318300W,,,NET 30,,MR GODFFRAY/MS YEO PEI SHI ,9388 8988,godfrey@auyin.com/sales3@auyin.com,,"5040 ANG MO KIO INDUSTRIAL PARK 2
#01 - 435
SINGAPORE 569543
",435,,569543,
A0044,SINGAPORE,AXA INSURANCE SINGAPORE PTE LTD,6338 7288,196900406D,,,NET 30,,MR GODFFRAY/MS YEO PEI SHI ,9388 8988,godfrey@auyin.com/sales3@auyin.com,,"143 CECIL STREET ,   
#01 - 01
SINGAPORE 069542
",01,,069542,6338 7288
A0045,SINGAPORE,ADAPTIVE ENGINEERING PTE LTD,6338 7288,,,,NET DUE,,M/s: Lillian Ho,62651923,mail@adaptive.com.sg,,"143 CECIL STREET ,   
#01 - 01
SINGAPORE 069542
",01,,069542,6338 7288
A0046,SINGAPORE,ADD VALUE ELECTRICAL PTE LTD,6338 7288,,,,NET 30,,Mandy,6261 0289   ,info@addvalue.sg,,"143 CECIL STREET ,   
#01 - 01
SINGAPORE 069542
",01,,069542,6338 7288
A0047,SINGAPORE,AQUA INTERNATIONAL PTE LTD,6338 7288,,,,NET DUE,,MR RON ,9487 8579,SALES@AQUA.SG ,,"143 CECIL STREET ,   
#01 - 01
SINGAPORE 069542
",01,,069542,6338 7288
